X[Hz],R[Vpk],I[Vpk],Mag[Vpk],P[deg]
1.74E+02,-5.41E-07,-8.60E-09,5.41E-07,-1.79E+02
1.76E+02,7.79E-09,-1.27E-06,1.27E-06,-8.96E+01
1.78E+02,9.73E-07,-4.44E-06,4.55E-06,-7.76E+01
1.80E+02,1.53E-06,-6.57E-06,6.74E-06,-7.69E+01
1.82E+02,7.90E-07,-4.74E-06,4.81E-06,-8.05E+01
1.84E+02,-4.32E-07,-1.95E-06,2.00E-06,-1.02E+02
1.86E+02,-9.40E-07,-8.45E-07,1.26E-06,-1.38E+02
1.88E+02,-8.32E-07,-3.14E-07,8.89E-07,-1.59E+02
1.90E+02,-7.43E-07,1.71E-07,7.63E-07,1.67E+02
1.92E+02,-8.50E-07,1.95E-07,8.73E-07,1.67E+02
1.94E+02,-8.42E-07,6.83E-09,8.42E-07,1.80E+02
1.96E+02,-8.79E-07,-3.27E-08,8.80E-07,-1.78E+02
1.98E+02,-1.02E-06,-6.78E-08,1.03E-06,-1.76E+02
2.00E+02,-5.81E-07,-1.50E-07,6.00E-07,-1.65E+02
2.02E+02,2.02E-07,-2.29E-07,3.05E-07,-4.86E+01
2.04E+02,4.38E-07,-2.31E-07,4.95E-07,-2.78E+01
2.06E+02,3.49E-07,-1.74E-07,3.90E-07,-2.65E+01
2.08E+02,4.20E-07,-2.50E-07,4.88E-07,-3.08E+01
2.10E+02,3.83E-07,-3.14E-07,4.95E-07,-3.93E+01
2.12E+02,1.42E-07,-2.16E-07,2.58E-07,-5.67E+01
2.14E+02,5.23E-08,3.42E-08,6.25E-08,3.32E+01
2.16E+02,1.91E-07,4.31E-07,4.72E-07,6.61E+01
2.18E+02,2.27E-07,6.08E-07,6.49E-07,6.95E+01
2.20E+02,-1.19E-07,3.25E-07,3.46E-07,1.10E+02
2.22E+02,-4.78E-07,-6.06E-08,4.81E-07,-1.73E+02
2.24E+02,-4.20E-07,-2.70E-07,4.99E-07,-1.47E+02
2.26E+02,-1.25E-07,-3.47E-07,3.69E-07,-1.10E+02
2.28E+02,5.04E-08,-1.86E-07,1.93E-07,-7.48E+01
2.30E+02,8.66E-09,1.40E-07,1.40E-07,8.65E+01
2.32E+02,8.29E-09,1.19E-07,1.19E-07,8.60E+01
2.34E+02,2.65E-07,-2.52E-07,3.66E-07,-4.36E+01
2.36E+02,5.26E-07,-3.69E-07,6.42E-07,-3.51E+01
2.38E+02,4.18E-07,-1.27E-07,4.36E-07,-1.69E+01
2.40E+02,-1.38E-08,-4.51E-08,4.71E-08,-1.07E+02
2.42E+02,-3.73E-07,-2.14E-07,4.30E-07,-1.50E+02
2.44E+02,-5.22E-07,-2.05E-07,5.61E-07,-1.59E+02
2.46E+02,-5.98E-07,3.12E-08,5.99E-07,1.77E+02
2.48E+02,-4.65E-07,1.78E-07,4.98E-07,1.59E+02
2.50E+02,-2.02E-07,1.13E-07,2.31E-07,1.51E+02
2.52E+02,-1.56E-07,-1.13E-07,1.93E-07,-1.44E+02
2.54E+02,-2.44E-07,-4.24E-07,4.89E-07,-1.20E+02
2.56E+02,-4.13E-07,-6.67E-07,7.85E-07,-1.22E+02
2.58E+02,-7.61E-07,-6.14E-07,9.78E-07,-1.41E+02
2.60E+02,-1.04E-06,-2.62E-07,1.07E-06,-1.66E+02
2.62E+02,-9.29E-07,-3.32E-08,9.30E-07,-1.78E+02
2.64E+02,-3.82E-07,3.70E-08,3.84E-07,1.74E+02
2.66E+02,2.42E-07,2.19E-07,3.27E-07,4.22E+01
2.68E+02,5.93E-07,1.28E-07,6.06E-07,1.22E+01
2.70E+02,5.58E-07,-4.49E-07,7.17E-07,-3.88E+01
2.72E+02,1.71E-07,-9.23E-07,9.39E-07,-7.95E+01
2.74E+02,-1.95E-07,-7.59E-07,7.84E-07,-1.04E+02
2.76E+02,-2.66E-07,-1.26E-07,2.94E-07,-1.55E+02
2.78E+02,-1.77E-07,3.83E-07,4.22E-07,1.15E+02
2.80E+02,3.29E-08,4.11E-07,4.12E-07,8.54E+01
2.82E+02,2.96E-07,9.21E-08,3.10E-07,1.73E+01
2.84E+02,4.15E-07,-1.01E-07,4.27E-07,-1.37E+01
2.86E+02,4.17E-07,-2.68E-08,4.18E-07,-3.68E+00
2.88E+02,2.91E-07,-7.33E-08,3.00E-07,-1.41E+01
2.90E+02,-2.96E-08,-3.74E-07,3.75E-07,-9.45E+01
2.92E+02,-3.34E-07,-5.57E-07,6.49E-07,-1.21E+02
2.94E+02,-4.49E-07,-3.45E-07,5.66E-07,-1.42E+02
2.96E+02,-7.48E-07,5.47E-08,7.50E-07,1.76E+02
2.98E+02,-1.50E-06,3.21E-07,1.54E-06,1.68E+02
