Input File: 4192-16.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 6.4 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   3.925644e-05  -4.544698e-08   3.925647e-05  -6.633099e-02 
  8.000000e+00   1.905390e-05  -3.233974e-07   1.905665e-05  -9.723745e-01 
  1.600000e+01  -6.537792e-06   1.478559e-06   6.702900e-06   1.672566e+02 
  2.400000e+01  -6.848135e-06   5.573296e-06   8.829415e-06   1.408599e+02 
  3.200000e+01   1.836321e-06   5.288257e-06   5.598012e-06   7.085069e+01 
  4.000000e+01   2.380715e-06  -2.003196e-06   3.111366e-06  -4.007814e+01 
  4.800000e+01  -1.129876e-05  -1.225479e-05   1.666859e-05  -1.326757e+02 
  5.600000e+01  -2.915610e-05  -1.856157e-05   3.456313e-05  -1.475181e+02 
  6.400000e+01  -2.929160e-05  -1.483538e-05   3.283422e-05  -1.531391e+02 
  7.200000e+01  -1.342480e-05  -5.870042e-06   1.465205e-05  -1.563825e+02 
  8.000000e+01  -2.078023e-06  -8.213677e-07   2.234463e-06  -1.584329e+02 
  8.800000e+01   1.452649e-06   2.401570e-08   1.452847e-06   9.471478e-01 
  9.600000e+01   2.920395e-06   3.733280e-07   2.944161e-06   7.284881e+00 
  1.040000e+02   3.437240e-06   8.696633e-07   3.545551e-06   1.419856e+01 
  1.120000e+02   2.375994e-06   3.891763e-07   2.407655e-06   9.302170e+00 
  1.200000e+02  -9.396192e-08  -1.137447e-06   1.141322e-06  -9.472234e+01 
  1.280000e+02   1.841039e-06   3.737392e-07   1.878591e-06   1.147536e+01 
  1.360000e+02   1.727832e-05   1.574989e-05   2.337947e-05   4.235044e+01 
  1.440000e+02   3.609254e-05   4.059527e-05   5.431987e-05   4.836027e+01 
  1.520000e+02   3.296100e-05   4.400338e-05   5.497931e-05   5.316473e+01 
  1.600000e+02   1.426757e-05   2.263470e-05   2.675618e-05   5.777510e+01 
  1.680000e+02   4.861273e-06   7.882823e-06   9.261256e-06   5.833819e+01 
  1.760000e+02   4.707127e-06   7.053374e-06   8.479807e-06   5.628251e+01 
  1.840000e+02   4.663623e-06   6.416204e-06   7.932027e-06   5.398844e+01 
  1.920000e+02   3.412363e-06   2.798558e-06   4.413178e-06   3.935598e+01 
  2.000000e+02   1.765973e-06   1.791916e-07   1.775041e-06   5.793918e+00 
  2.080000e+02   6.545029e-07  -6.842232e-07   9.468555e-07  -4.627178e+01 
  2.160000e+02   4.665920e-07  -6.164257e-07   7.731033e-07  -5.287678e+01 
  2.240000e+02   5.410978e-07  -4.167532e-07   6.829861e-07  -3.760344e+01 
  2.320000e+02   4.752553e-07  -6.380398e-07   7.955894e-07  -5.331876e+01 
  2.400000e+02   3.238809e-07  -5.072641e-07   6.018436e-07  -5.744234e+01 
  2.480000e+02   3.917997e-07  -2.837690e-08   3.928260e-07  -4.142531e+00 
  2.560000e+02   1.046955e-06  -1.670699e-07   1.060201e-06  -9.066641e+00 
  2.640000e+02   1.487302e-06  -5.624357e-07   1.590095e-06  -2.071453e+01 
  2.720000e+02   8.373437e-07  -7.452729e-07   1.120971e-06  -4.167049e+01 
  2.800000e+02   3.389345e-08  -1.163738e-06   1.164231e-06  -8.833174e+01 
  2.880000e+02   3.371238e-07  -1.929836e-06   1.959061e-06  -8.009097e+01 
  2.960000e+02   1.028618e-06  -2.722510e-06   2.910346e-06  -6.930244e+01 
  3.040000e+02   7.291192e-07  -2.668604e-06   2.766417e-06  -7.471854e+01 
  3.120000e+02   8.901640e-08  -1.653854e-06   1.656248e-06  -8.691911e+01 
  3.200000e+02   5.568569e-07  -1.038546e-06   1.178417e-06  -6.180027e+01 
  3.280000e+02   1.191731e-06  -8.249963e-07   1.449428e-06  -3.469358e+01 
  3.360000e+02   4.951347e-07  -4.581607e-07   6.745884e-07  -4.277887e+01 
  3.440000e+02  -4.076875e-07  -5.768619e-07   7.063842e-07  -1.252501e+02 
  3.520000e+02   7.417695e-08  -4.486223e-07   4.547133e-07  -8.061143e+01 
  3.600000e+02   3.928064e-08   3.807086e-07   3.827297e-07   8.410919e+01 
  3.680000e+02  -6.597845e-07  -5.134356e-08   6.617792e-07  -1.755503e+02 
  3.760000e+02   3.014427e-08  -9.541427e-07   9.546187e-07  -8.819044e+01 
  3.840000e+02   1.578724e-06  -8.578520e-07   1.796741e-06  -2.851891e+01 
  3.920000e+02   4.197332e-05  -1.340370e-05   4.406153e-05  -1.771029e+01 
  4.000000e+02   2.739245e-04  -5.238547e-05   2.788886e-04  -1.082655e+01 
  4.080000e+02   6.392023e-04  -6.135591e-05   6.421403e-04  -5.482923e+00 
  4.160000e+02   6.640251e-04  -7.591778e-06   6.640685e-04  -6.550322e-01 
  4.240000e+02   3.090050e-04   2.220999e-05   3.098022e-04   4.111112e+00 
  4.320000e+02   5.363707e-05   7.005024e-06   5.409257e-05   7.440739e+00 
  4.400000e+02   2.391350e-06   8.938406e-07   2.552941e-06   2.049477e+01 
  4.480000e+02  -1.851061e-06   1.786540e-06   2.572577e-06   1.360162e+02 
  4.560000e+02  -1.624927e-06  -8.886032e-07   1.852027e-06  -1.513276e+02 
  4.640000e+02   3.165951e-07  -6.369236e-07   7.112694e-07  -6.356944e+01 
  4.720000e+02  -6.076637e-07   4.445455e-07   7.529116e-07   1.438121e+02 
  4.800000e+02  -1.212133e-06  -2.412070e-07   1.235899e-06  -1.687455e+02 
  4.880000e+02  -5.353504e-07  -5.196090e-07   7.460520e-07  -1.358549e+02 
  4.960000e+02  -1.508800e-07  -7.618515e-07   7.766482e-07  -1.012021e+02 
  5.040000e+02   4.053546e-07  -7.264144e-07   8.318595e-07  -6.083755e+01 
  5.120000e+02   1.579328e-07  -2.182850e-07   2.694274e-07  -5.411364e+01 
  5.200000e+02   3.764492e-07  -1.239588e-06   1.295489e-06  -7.310703e+01 
  5.280000e+02   2.111007e-06  -1.511696e-06   2.596454e-06  -3.560653e+01 
  5.360000e+02   1.522082e-06   2.386035e-07   1.540671e-06   8.909248e+00 
  5.440000e+02  -7.980852e-07   1.951437e-07   8.215966e-07   1.662599e+02 
  5.520000e+02  -8.415224e-07  -5.200512e-07   9.892487e-07  -1.482844e+02 
  5.600000e+02  -4.700913e-07   6.351000e-07   7.901505e-07   1.265083e+02 
  5.680000e+02  -8.886534e-07   1.216584e-06   1.506580e-06   1.261462e+02 
  5.760000e+02  -3.773677e-07   9.403562e-07   1.013250e-06   1.118657e+02 
  5.840000e+02  -6.267465e-08   9.685396e-07   9.705653e-07   9.370247e+01 
  5.920000e+02   5.662690e-08   3.798748e-07   3.840722e-07   8.152151e+01 
  6.000000e+02   6.482912e-07   5.303686e-07   8.375991e-07   3.928668e+01 
  6.080000e+02  -3.001463e-07   1.142127e-06   1.180907e-06   1.047242e+02 
  6.160000e+02  -1.115436e-06  -9.304867e-08   1.119310e-06  -1.752315e+02 
  6.240000e+02   1.766242e-07  -4.368376e-07   4.711934e-07  -6.798531e+01 
  6.320000e+02   6.056627e-08   7.309300e-07   7.334350e-07   8.526318e+01 
  6.400000e+02  -8.907014e-07  -1.294631e-07   9.000609e-07  -1.717300e+02 
  6.480000e+02   2.323055e-07  -5.312527e-07   5.798236e-07  -6.638126e+01 
  6.560000e+02   4.150197e-07   1.088924e-06   1.165332e-06   6.913675e+01 
  6.640000e+02  -5.981595e-07   8.732155e-07   1.058442e-06   1.244114e+02 
  6.720000e+02  -1.060418e-07   2.528295e-07   2.741671e-07   1.127542e+02 
