Input File: 4192-06.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   5.988586e-05  -6.932954e-08   5.988590e-05  -6.633099e-02 
  2.000000e+00   4.325014e-05  -6.108388e-06   4.367937e-05  -8.038939e+00 
  4.000000e+00   1.658784e-05  -6.280742e-06   1.773709e-05  -2.073843e+01 
  6.000000e+00   2.840855e-06  -1.927299e-06   3.432920e-06  -3.415383e+01 
  8.000000e+00  -3.301952e-06   1.811643e-06   3.766290e-06   1.512483e+02 
  1.000000e+01  -6.317932e-06   3.607852e-06   7.275497e-06   1.502715e+02 
  1.200000e+01  -6.044973e-06   4.199816e-06   7.360717e-06   1.452099e+02 
  1.400000e+01  -3.927848e-06   3.242852e-06   5.093533e-06   1.404567e+02 
  1.600000e+01  -8.541804e-07   2.155987e-06   2.319031e-06   1.116130e+02 
  1.800000e+01   1.426125e-06   3.207040e-06   3.509835e-06   6.602596e+01 
  2.000000e+01   2.196631e-06   5.906245e-06   6.301501e-06   6.959899e+01 
  2.200000e+01   3.381738e-06   7.770341e-06   8.474335e-06   6.648079e+01 
  2.400000e+01   4.096764e-06   6.278238e-06   7.496649e-06   5.687418e+01 
  2.600000e+01   3.719934e-06   2.903686e-06   4.719036e-06   3.797469e+01 
  2.800000e+01   3.329225e-06   1.460148e-06   3.635350e-06   2.368154e+01 
  3.000000e+01   1.172311e-06   1.781432e-06   2.132560e-06   5.665219e+01 
  3.200000e+01  -2.151812e-06   7.397838e-07   2.275429e-06   1.610273e+02 
  3.400000e+01  -2.733903e-06  -2.260404e-06   3.547345e-06  -1.404159e+02 
  3.600000e+01  -4.274164e-07  -4.127805e-06   4.149875e-06  -9.591166e+01 
  3.800000e+01   1.895667e-06  -2.683075e-06   3.285185e-06  -5.475773e+01 
  4.000000e+01   2.335541e-06   4.190531e-07   2.372838e-06   1.017202e+01 
  4.200000e+01   1.818401e-06   2.367637e-06   2.985345e-06   5.247488e+01 
  4.400000e+01   2.009347e-06   1.699792e-06   2.631875e-06   4.022930e+01 
  4.600000e+01   1.879423e-06  -5.780209e-07   1.966301e-06  -1.709540e+01 
  4.800000e+01   4.915782e-07  -1.036979e-06   1.147595e-06  -6.463678e+01 
  5.000000e+01  -6.262147e-07   5.660049e-07   8.441010e-07   1.378911e+02 
  5.200000e+01  -6.026970e-07   8.550838e-07   1.046141e-06   1.251777e+02 
  5.400000e+01  -4.902138e-07  -1.246652e-06   1.339571e-06  -1.114660e+02 
  5.600000e+01  -4.614769e-07  -8.598583e-06   8.610958e-06  -9.307205e+01 
  5.800000e+01   6.027618e-08  -2.477974e-05   2.477982e-05  -8.986063e+01 
  6.000000e+01   2.996814e-07  -3.461073e-05   3.461203e-05  -8.950391e+01 
  6.200000e+01  -1.287034e-07  -2.300396e-05   2.300432e-05  -9.032055e+01 
  6.400000e+01  -4.151983e-07  -6.196668e-06   6.210562e-06  -9.383328e+01 
  6.600000e+01  -5.739275e-07   6.225454e-08   5.772940e-07   1.738093e+02 
  6.800000e+01  -9.581985e-07   3.907448e-07   1.034807e-06   1.578148e+02 
  7.000000e+01  -1.533625e-06   4.108826e-08   1.534175e-06   1.784653e+02 
  7.200000e+01  -1.946262e-06  -4.514138e-07   1.997926e-06  -1.669418e+02 
  7.400000e+01  -1.708469e-06  -7.270640e-07   1.856742e-06  -1.569471e+02 
  7.600000e+01  -1.264362e-06  -9.573618e-08   1.267982e-06  -1.756699e+02 
  7.800000e+01  -8.181222e-07   6.648339e-07   1.054195e-06   1.409015e+02 
  8.000000e+01  -2.163435e-08   5.174097e-07   5.178618e-07   9.239430e+01 
  8.200000e+01   3.570373e-07   2.451735e-07   4.331116e-07   3.447694e+01 
  8.400000e+01  -3.619167e-07   9.078935e-07   9.773711e-07   1.117339e+02 
  8.600000e+01  -1.406339e-06   1.483668e-06   2.044275e-06   1.334673e+02 
  8.800000e+01  -1.961798e-06   8.661719e-07   2.144506e-06   1.561776e+02 
  9.000000e+01  -2.135127e-06  -1.871987e-09   2.135128e-06  -1.799498e+02 
  9.200000e+01  -1.904103e-06  -3.868576e-07   1.943005e-06  -1.685155e+02 
  9.400000e+01  -1.035359e-06  -6.395971e-07   1.216985e-06  -1.482941e+02 
  9.600000e+01  -6.761817e-08  -7.273056e-07   7.304421e-07  -9.531156e+01 
  9.800000e+01   5.672424e-07  -4.922672e-07   7.510598e-07  -4.095227e+01 
  1.000000e+02   8.316702e-07  -3.727835e-07   9.113961e-07  -2.414358e+01 
  1.020000e+02   4.997798e-07  -5.532038e-07   7.455296e-07  -4.790445e+01 
  1.040000e+02   1.057953e-07  -6.086452e-07   6.177715e-07  -8.013931e+01 
  1.060000e+02   4.682298e-07  -5.007805e-07   6.855802e-07  -4.692393e+01 
  1.080000e+02   1.009574e-06  -3.501313e-07   1.068565e-06  -1.912710e+01 
  1.100000e+02   7.948136e-07  -5.213234e-08   7.965215e-07  -3.752692e+00 
  1.120000e+02   8.119927e-08   3.510709e-07   3.603389e-07   7.697704e+01 
  1.140000e+02  -3.072877e-07   6.515857e-07   7.204094e-07   1.152486e+02 
  1.160000e+02  -1.572574e-07   7.221434e-07   7.390677e-07   1.022852e+02 
