Input File: 4192-04.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   5.215992e-05  -6.038526e-08   5.215996e-05  -6.633098e-02 
  2.000000e+00   3.342164e-05   4.593163e-06   3.373579e-05   7.825185e+00 
  4.000000e+00   7.352466e-06   6.198106e-06   9.616407e-06   4.013078e+01 
  6.000000e+00   1.627375e-06   3.533535e-06   3.890272e-06   6.527149e+01 
  8.000000e+00   1.877798e-06   1.145602e-06   2.199666e-06   3.138643e+01 
  1.000000e+01   5.686194e-07   6.138334e-07   8.367315e-07   4.718977e+01 
  1.200000e+01   7.276212e-07  -1.227871e-06   1.427270e-06  -5.934953e+01 
  1.400000e+01  -8.511182e-07  -3.735369e-06   3.831107e-06  -1.028359e+02 
  1.600000e+01  -2.002836e-06  -3.186418e-06   3.763591e-06  -1.221516e+02 
  1.800000e+01  -4.809920e-07  -6.210677e-08   4.849850e-07  -1.726425e+02 
  2.000000e+01  -5.951157e-07   2.273624e-06   2.350219e-06   1.046680e+02 
  2.200000e+01  -3.487119e-06   2.356294e-06   4.208577e-06   1.459526e+02 
  2.400000e+01  -6.596403e-06   4.348537e-09   6.596405e-06   1.799622e+02 
  2.600000e+01  -8.216791e-06  -2.271814e-06   8.525069e-06  -1.645447e+02 
  2.800000e+01  -7.807881e-06  -2.020808e-06   8.065152e-06  -1.654893e+02 
  3.000000e+01  -6.025847e-06  -1.231479e-06   6.150396e-06  -1.684497e+02 
  3.200000e+01  -3.949818e-06  -1.972036e-06   4.414746e-06  -1.534683e+02 
  3.400000e+01  -2.829380e-06  -3.033049e-06   4.147864e-06  -1.330103e+02 
  3.600000e+01  -3.241621e-06  -3.099958e-06   4.485292e-06  -1.362797e+02 
  3.800000e+01  -3.442947e-06  -2.416342e-06   4.206256e-06  -1.449379e+02 
  4.000000e+01  -1.720553e-06  -1.433339e-06   2.239366e-06  -1.402034e+02 
  4.200000e+01   8.550118e-07  -5.983057e-07   1.043559e-06  -3.498291e+01 
  4.400000e+01   2.282712e-06  -9.315262e-07   2.465464e-06  -2.219933e+01 
  4.600000e+01   1.939897e-06  -2.283543e-06   2.996293e-06  -4.965170e+01 
  4.800000e+01   4.652784e-07  -2.915822e-06   2.952711e-06  -8.093373e+01 
