Input File: 4192-07.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   4.657556e-05  -5.392028e-08   4.657559e-05  -6.633098e-02 
  2.000000e+00   2.629403e-05   1.211329e-05   2.895009e-05   2.473485e+01 
  4.000000e+00  -3.249214e-06   1.375324e-05   1.413185e-05   1.032924e+02 
  6.000000e+00  -9.188060e-06   1.017648e-05   1.371063e-05   1.320780e+02 
  8.000000e+00  -9.775847e-07   7.404023e-06   7.468282e-06   9.752150e+01 
  1.000000e+01   4.600166e-06   4.186869e-06   6.220241e-06   4.230708e+01 
  1.200000e+01   3.520265e-06  -1.035733e-06   3.669470e-06  -1.639495e+01 
  1.400000e+01   1.219173e-06  -3.782644e-06   3.974264e-06  -7.213551e+01 
  1.600000e+01   1.545002e-06  -1.168935e-06   1.937379e-06  -3.711082e+01 
  1.800000e+01   3.465367e-06   2.232884e-06   4.122443e-06   3.279541e+01 
  2.000000e+01   5.423712e-06   3.050487e-06   6.222710e-06   2.935494e+01 
  2.200000e+01   6.643060e-06   2.796345e-06   7.207620e-06   2.282829e+01 
  2.400000e+01   6.679964e-06   2.772472e-06   7.232463e-06   2.254055e+01 
  2.600000e+01   5.108866e-06   2.413984e-06   5.650472e-06   2.529114e+01 
  2.800000e+01   1.262842e-06   1.659197e-06   2.085115e-06   5.272465e+01 
  3.000000e+01  -2.984006e-06   1.408440e-06   3.299696e-06   1.547328e+02 
  3.200000e+01  -5.143329e-06   1.449549e-06   5.343691e-06   1.642605e+02 
  3.400000e+01  -5.488399e-06   4.963103e-07   5.510794e-06   1.748329e+02 
  3.600000e+01  -4.026277e-06  -4.232367e-07   4.048461e-06  -1.739992e+02 
  3.800000e+01  -1.409510e-06   4.599040e-07   1.482643e-06   1.619292e+02 
  4.000000e+01   6.360937e-07   1.623920e-06   1.744056e-06   6.860959e+01 
  4.200000e+01   1.602135e-06   1.409988e-06   2.134222e-06   4.134996e+01 
  4.400000e+01   6.593627e-07   1.860303e-07   6.851033e-07   1.575569e+01 
  4.600000e+01  -1.342122e-06  -1.674007e-06   2.145598e-06  -1.287206e+02 
  4.800000e+01  -1.711684e-06  -2.004246e-06   2.635691e-06  -1.304983e+02 
  5.000000e+01  -4.738811e-07  -2.111118e-07   5.187789e-07  -1.559872e+02 
  5.200000e+01   7.491396e-07   1.734438e-07   7.689558e-07   1.303567e+01 
  5.400000e+01   1.726754e-06  -1.349507e-06   2.191540e-06  -3.800864e+01 
  5.600000e+01   7.512407e-06  -2.251547e-06   7.842558e-06  -1.668402e+01 
  5.800000e+01   2.333459e-05  -2.550799e-06   2.347359e-05  -6.238466e+00 
  6.000000e+01   3.373679e-05  -2.659292e-06   3.384144e-05  -4.507002e+00 
  6.200000e+01   2.284757e-05  -1.722800e-06   2.291243e-05  -4.312175e+00 
  6.400000e+01   6.278703e-06  -9.601754e-07   6.351696e-06  -8.694639e+00 
  6.600000e+01  -6.418406e-07  -1.492932e-06   1.625056e-06  -1.132638e+02 
  6.800000e+01  -1.831915e-06  -1.999733e-06   2.711982e-06  -1.324922e+02 
  7.000000e+01  -1.229267e-06  -1.738238e-06   2.128983e-06  -1.252676e+02 
  7.200000e+01   2.864361e-07  -1.268419e-06   1.300358e-06  -7.727483e+01 
  7.400000e+01   9.582903e-07  -9.211863e-07   1.329250e-06  -4.386903e+01 
  7.600000e+01   1.327332e-07  -4.556339e-07   4.745739e-07  -7.375833e+01 
  7.800000e+01  -1.126234e-06  -3.121863e-07   1.168701e-06  -1.645069e+02 
  8.000000e+01  -1.710640e-06  -7.416962e-07   1.864511e-06  -1.565595e+02 
  8.200000e+01  -1.141206e-06  -1.039546e-06   1.543699e-06  -1.376690e+02 
  8.400000e+01  -4.238308e-07  -1.658717e-06   1.712009e-06  -1.043334e+02 
  8.600000e+01  -4.363212e-07  -2.601979e-06   2.638308e-06  -9.951926e+01 
  8.800000e+01  -4.138024e-07  -2.232229e-06   2.270260e-06  -1.005021e+02 
  9.000000e+01  -3.410677e-07  -7.238752e-07   8.002016e-07  -1.152284e+02 
  9.200000e+01  -8.511310e-07   4.220338e-07   9.500192e-07   1.536255e+02 
  9.400000e+01  -1.197827e-06   8.878858e-07   1.491017e-06   1.434524e+02 
  9.600000e+01  -7.276224e-07   5.813792e-07   9.313625e-07   1.413747e+02 
  9.800000e+01   1.746070e-07  -1.401144e-07   2.238742e-07  -3.874551e+01 
  1.000000e+02   1.117310e-06  -2.033872e-07   1.135670e-06  -1.031676e+01 
  1.020000e+02   1.556176e-06   3.777797e-07   1.601375e-06   1.364524e+01 
  1.040000e+02   9.919115e-07   6.408870e-07   1.180942e-06   3.286703e+01 
  1.060000e+02  -2.146936e-07   5.199206e-07   5.625040e-07   1.124375e+02 
  1.080000e+02  -1.184268e-06   6.005321e-07   1.327829e-06   1.531108e+02 
  1.100000e+02  -1.560572e-06   6.213456e-07   1.679719e-06   1.582899e+02 
  1.120000e+02  -1.405271e-06   4.850704e-08   1.406108e-06   1.780230e+02 
  1.140000e+02  -8.915526e-07  -5.715792e-07   1.059041e-06  -1.473358e+02 
  1.160000e+02  -3.981705e-07  -2.827738e-07   4.883654e-07  -1.446183e+02 
  1.180000e+02  -2.526544e-07   3.424918e-07   4.255994e-07   1.264160e+02 
  1.200000e+02  -5.765770e-07   2.673061e-07   6.355262e-07   1.551271e+02 
  1.220000e+02  -9.965280e-07   2.061935e-07   1.017636e-06   1.683098e+02 
  1.240000e+02  -9.845137e-07   6.761219e-07   1.194323e-06   1.455204e+02 
  1.260000e+02  -6.749989e-07   7.242009e-07   9.899952e-07   1.329861e+02 
  1.280000e+02  -2.442872e-07   1.340284e-07   2.786392e-07   1.512486e+02 
  1.300000e+02   1.760027e-07  -2.660050e-07   3.189602e-07  -5.650932e+01 
  1.320000e+02   1.153051e-07  -1.383262e-07   1.800816e-07  -5.018631e+01 
  1.340000e+02  -2.351124e-07  -3.680559e-09   2.351412e-07  -1.791031e+02 
  1.360000e+02  -3.037184e-07  -2.234520e-07   3.770619e-07  -1.436573e+02 
  1.380000e+02  -1.798227e-07  -4.921076e-07   5.239332e-07  -1.100730e+02 
  1.400000e+02   5.562019e-08  -5.407427e-07   5.435957e-07  -8.412727e+01 
  1.420000e+02   6.598681e-07  -4.095579e-07   7.766361e-07  -3.182648e+01 
  1.440000e+02   1.158993e-06  -3.348028e-07   1.206382e-06  -1.611263e+01 
  1.460000e+02   8.909327e-07  -4.416457e-07   9.943902e-07  -2.636815e+01 
  1.480000e+02   2.501164e-07  -5.781474e-07   6.299306e-07  -6.660587e+01 
  1.500000e+02  -5.383467e-08  -8.312830e-07   8.330243e-07  -9.370535e+01 
  1.520000e+02  -2.298625e-08  -1.263806e-06   1.264015e-06  -9.104198e+01 
  1.540000e+02   1.748467e-07  -1.415609e-06   1.426367e-06  -8.295885e+01 
  1.560000e+02   4.487855e-07  -1.060565e-06   1.151610e-06  -6.706400e+01 
  1.580000e+02   3.820079e-07  -6.870436e-07   7.861036e-07  -6.092519e+01 
  1.600000e+02  -8.856552e-08  -5.954115e-07   6.019624e-07  -9.846052e+01 
  1.620000e+02  -4.794481e-07  -3.783940e-07   6.107803e-07  -1.417185e+02 
  1.640000e+02  -5.617566e-07   1.565437e-07   5.831607e-07   1.644285e+02 
  1.660000e+02  -4.858236e-07   5.856621e-07   7.609367e-07   1.296767e+02 
  1.680000e+02  -2.108767e-07   5.052868e-07   5.475251e-07   1.126527e+02 
  1.700000e+02   1.855884e-07   1.803731e-07   2.588002e-07   4.418353e+01 
  1.720000e+02   2.299787e-07   7.725130e-09   2.301084e-07   1.923878e+00 
  1.740000e+02  -2.185115e-07  -3.242489e-07   3.910047e-07  -1.239760e+02 
  1.760000e+02  -1.687547e-06  -7.423408e-07   1.843606e-06  -1.562556e+02 
  1.780000e+02  -4.753086e-06  -5.113901e-07   4.780517e-06  -1.738591e+02 
  1.800000e+02  -6.580902e-06   1.919943e-07   6.583702e-06   1.783289e+02 
  1.820000e+02  -4.527227e-06   4.221472e-07   4.546866e-06   1.746728e+02 
