Input File: 4192-03.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   1.009170e-04  -1.168311e-07   1.009171e-04  -6.633098e-02 
  2.000000e+00   7.045194e-05   4.078886e-06   7.056992e-05   3.313498e+00 
  4.000000e+00   2.253855e-05   4.984292e-06   2.308310e-05   1.246999e+01 
  6.000000e+00   3.014771e-06   3.813623e-06   4.861333e-06   5.167269e+01 
  8.000000e+00   2.151343e-06   6.192342e-06   6.555408e-06   7.084176e+01 
  1.000000e+01   1.889771e-06   1.106523e-05   1.122545e-05   8.030827e+01 
  1.200000e+01  -6.825597e-07   1.080324e-05   1.082478e-05   9.361520e+01 
  1.400000e+01  -1.388531e-06   5.894615e-06   6.055948e-06   1.032549e+02 
  1.600000e+01  -4.255775e-07   2.380305e-06   2.418051e-06   1.001369e+02 
  1.800000e+01   1.394324e-06   1.328123e-06   1.925630e-06   4.360701e+01 
  2.000000e+01   7.392122e-06   2.855675e-06   7.924540e-06   2.112221e+01 
  2.200000e+01   1.388995e-05   7.393401e-06   1.573509e-05   2.802567e+01 
  2.400000e+01   1.156399e-05   8.281276e-06   1.422341e-05   3.560745e+01 
  2.600000e+01   4.497817e-06   3.267012e-06   5.559112e-06   3.599297e+01 
  2.800000e+01   9.057031e-07  -1.243252e-06   1.538172e-06  -5.392685e+01 
  3.000000e+01  -7.385600e-07  -2.608799e-06   2.711329e-06  -1.058070e+02 
  3.200000e+01  -2.124083e-06  -1.717128e-06   2.731348e-06  -1.410476e+02 
  3.400000e+01  -2.546184e-06   1.532760e-07   2.550793e-06   1.765550e+02 
  3.600000e+01  -2.802361e-06   8.323767e-07   2.923367e-06   1.634572e+02 
  3.800000e+01  -3.107097e-06   7.709900e-08   3.108054e-06   1.785786e+02 
  4.000000e+01  -1.852125e-06  -1.104088e-07   1.855413e-06  -1.765885e+02 
  4.200000e+01   1.176487e-06   1.059431e-06   1.583198e-06   4.200315e+01 
  4.400000e+01   3.235680e-06   2.604098e-06   4.153426e-06   3.882736e+01 
  4.600000e+01   3.497529e-06   3.076783e-06   4.658251e-06   4.133815e+01 
  4.800000e+01   3.546507e-06   2.024678e-06   4.083752e-06   2.972177e+01 
  5.000000e+01   3.652737e-06   5.109067e-07   3.688294e-06   7.962280e+00 
  5.200000e+01   3.227507e-06  -2.988825e-07   3.241317e-06  -5.290772e+00 
  5.400000e+01   2.603780e-06  -1.057996e-07   2.605928e-06  -2.326824e+00 
  5.600000e+01   6.025965e-06   2.866337e-06   6.672941e-06   2.543877e+01 
  5.800000e+01   1.763835e-05   1.003808e-05   2.029469e-05   2.964442e+01 
  6.000000e+01   2.518106e-05   1.422405e-05   2.892074e-05   2.946084e+01 
  6.200000e+01   1.607918e-05   9.535040e-06   1.869377e-05   3.066816e+01 
  6.400000e+01   3.049036e-06   3.646056e-06   4.752930e-06   5.009574e+01 
  6.600000e+01  -1.751406e-06   1.735677e-06   2.465765e-06   1.352584e+02 
  6.800000e+01  -1.522347e-06   9.416205e-07   1.790025e-06   1.482619e+02 
  7.000000e+01  -3.084408e-07   3.166223e-07   4.420242e-07   1.342501e+02 
  7.200000e+01   5.127768e-07  -1.161817e-07   5.257739e-07  -1.276617e+01 
  7.400000e+01   4.173118e-07  -3.899162e-07   5.711250e-07  -4.305624e+01 
  7.600000e+01  -3.579989e-07  -3.875277e-07   5.275803e-07  -1.327318e+02 
  7.800000e+01  -1.075209e-06  -1.197259e-07   1.081854e-06  -1.736462e+02 
  8.000000e+01  -1.279437e-06   3.588650e-07   1.328812e-06   1.643319e+02 
  8.200000e+01  -7.470367e-07   3.151626e-07   8.107967e-07   1.571259e+02 
  8.400000e+01   6.853098e-07  -2.296866e-07   7.227762e-07  -1.852895e+01 
  8.600000e+01   1.947800e-06  -3.663412e-07   1.981952e-06  -1.065172e+01 
  8.800000e+01   1.935990e-06  -2.675055e-07   1.954384e-06  -7.867030e+00 
  9.000000e+01   1.394544e-06  -4.715768e-07   1.472120e-06  -1.868340e+01 
  9.200000e+01   9.514828e-07  -1.055947e-06   1.421388e-06  -4.797892e+01 
  9.400000e+01   5.381563e-07  -1.218740e-06   1.332269e-06  -6.617529e+01 
  9.600000e+01   6.567366e-07  -6.600028e-07   9.310782e-07  -4.514212e+01 
  9.800000e+01   1.274561e-06  -3.007813e-07   1.309571e-06  -1.327819e+01 
  1.000000e+02   1.130970e-06  -5.027824e-07   1.237693e-06  -2.396795e+01 
  1.020000e+02   6.121128e-07  -9.197445e-07   1.104813e-06  -5.635525e+01 
  1.040000e+02   1.262465e-06  -1.052584e-06   1.643701e-06  -3.981974e+01 
  1.060000e+02   2.013295e-06  -1.059876e-06   2.275235e-06  -2.776403e+01 
  1.080000e+02   1.193837e-06  -1.329945e-06   1.787177e-06  -4.808698e+01 
  1.100000e+02  -1.531410e-07  -1.176948e-06   1.186870e-06  -9.741350e+01 
  1.120000e+02  -2.721700e-07  -4.520103e-07   5.276266e-07  -1.210535e+02 
  1.140000e+02   2.712176e-07   1.755820e-07   3.230914e-07   3.291837e+01 
  1.160000e+02  -8.068796e-09   5.072301e-07   5.072943e-07   9.091135e+01 
  1.180000e+02  -5.785889e-07   3.830924e-07   6.939199e-07   1.464908e+02 
  1.200000e+02  -4.914586e-07  -3.108623e-08   4.924408e-07  -1.763807e+02 
  1.220000e+02  -7.375498e-08  -3.764108e-07   3.835687e-07  -1.010862e+02 
  1.240000e+02   2.976007e-07  -6.747076e-07   7.374256e-07  -6.619863e+01 
  1.260000e+02   3.536664e-07  -7.981525e-07   8.729990e-07  -6.610156e+01 
  1.280000e+02  -3.432509e-08  -5.647565e-07   5.657986e-07  -9.347807e+01 
  1.300000e+02  -4.010811e-07  -3.536304e-07   5.347154e-07  -1.385976e+02 
  1.320000e+02  -3.642392e-07  -5.149303e-07   6.307324e-07  -1.252739e+02 
  1.340000e+02  -1.717198e-07  -9.042375e-07   9.203984e-07  -1.007527e+02 
  1.360000e+02   1.713976e-08  -7.247518e-07   7.249544e-07  -8.864525e+01 
  1.380000e+02  -5.212982e-09  -2.543840e-07   2.544375e-07  -9.117397e+01 
  1.400000e+02  -1.133430e-07  -5.069569e-07   5.194727e-07  -1.026027e+02 
  1.420000e+02   3.348119e-06   8.619487e-07   3.457290e-06   1.443689e+01 
  1.440000e+02   1.664289e-05   1.980948e-05   2.587280e-05   4.996477e+01 
  1.460000e+02   2.493366e-05   5.874674e-05   6.381902e-05   6.700236e+01 
  1.480000e+02   1.127055e-05   6.841532e-05   6.933745e-05   8.064527e+01 
  1.500000e+02  -2.363966e-06   3.382090e-05   3.390342e-05   9.399828e+01 
  1.520000e+02  -2.348484e-06   5.875761e-06   6.327712e-06   1.117861e+02 
  1.540000e+02  -1.303868e-06   2.828114e-07   1.334187e-06   1.677620e+02 
  1.560000e+02  -1.663524e-06   8.914429e-08   1.665911e-06   1.769326e+02 
  1.580000e+02  -1.333204e-06   3.585058e-07   1.380565e-06   1.649489e+02 
  1.600000e+02  -7.962595e-07   7.342254e-07   1.083105e-06   1.373211e+02 
  1.620000e+02  -3.773850e-07   5.951491e-07   7.047140e-07   1.223788e+02 
  1.640000e+02  -2.667555e-07  -6.011248e-08   2.734447e-07  -1.673007e+02 
  1.660000e+02   4.350151e-08  -5.900308e-07   5.916322e-07  -8.578335e+01 
  1.680000e+02   8.419426e-07  -5.810745e-07   1.022993e-06  -3.461185e+01 
  1.700000e+02   1.438205e-06  -1.650948e-07   1.447650e-06  -6.548448e+00 
  1.720000e+02   8.634958e-07   1.996825e-07   8.862833e-07   1.302071e+01 
  1.740000e+02  -3.604042e-08   2.165861e-07   2.195642e-07   9.944758e+01 
  1.760000e+02  -9.243540e-08  -9.840282e-07   9.883602e-07  -9.536637e+01 
  1.780000e+02   9.601560e-08  -4.073166e-06   4.074298e-06  -8.864963e+01 
  1.800000e+02  -1.512457e-08  -5.704511e-06   5.704531e-06  -9.015191e+01 
  1.820000e+02  -4.577356e-08  -3.348884e-06   3.349197e-06  -9.078309e+01 
  1.840000e+02   1.131121e-07  -6.189279e-07   6.291789e-07  -7.964320e+01 
  1.860000e+02   1.287977e-07  -1.463650e-07   1.949655e-07  -4.865298e+01 
  1.880000e+02   2.108036e-07  -5.513762e-07   5.902997e-07  -6.907701e+01 
  1.900000e+02   4.696404e-07  -6.839808e-07   8.296939e-07  -5.552541e+01 
  1.920000e+02   4.915761e-07  -5.424946e-07   7.320843e-07  -4.781901e+01 
  1.940000e+02   2.043608e-07  -3.380956e-07   3.950595e-07  -5.884927e+01 
  1.960000e+02  -4.759518e-08  -3.595415e-07   3.626781e-07  -9.754082e+01 
