Input File: 4192-13.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 6.4 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   4.812786e-05  -5.571737e-08   4.812789e-05  -6.633099e-02 
  8.000000e+00   3.543672e-05   3.928797e-06   3.565384e-05   6.326430e+00 
  1.600000e+01   1.290678e-05  -5.052008e-06   1.386030e-05  -2.137650e+01 
  2.400000e+01  -1.888956e-06  -1.133427e-05   1.149060e-05  -9.946188e+01 
  3.200000e+01  -8.181423e-06  -4.953160e-06   9.563968e-06  -1.488086e+02 
  4.000000e+01  -7.874038e-06   3.717016e-06   8.707277e-06   1.547299e+02 
  4.800000e+01  -4.561516e-06   1.600141e-05   1.663889e-05   1.059112e+02 
  5.600000e+01  -2.758735e-06   3.396566e-05   3.407751e-05   9.464344e+01 
  6.400000e+01  -2.989129e-06   3.585705e-05   3.598142e-05   9.476529e+01 
  7.200000e+01  -2.796084e-06   1.758829e-05   1.780915e-05   9.903296e+01 
  8.000000e+01  -1.863689e-06   2.491747e-06   3.111613e-06   1.267944e+02 
  8.800000e+01  -1.210633e-06  -2.011506e-06   2.347720e-06  -1.210418e+02 
  9.600000e+01  -2.498773e-08  -2.571593e-06   2.571715e-06  -9.055671e+01 
  1.040000e+02   1.512622e-06  -1.969645e-06   2.483451e-06  -5.247692e+01 
  1.120000e+02   2.097654e-06  -1.034878e-06   2.339044e-06  -2.625942e+01 
  1.200000e+02   2.705050e-06  -8.483368e-07   2.834955e-06  -1.741206e+01 
  1.280000e+02   5.729151e-06   1.840405e-06   6.017496e-06   1.780885e+01 
  1.360000e+02   1.442347e-05   1.687736e-05   2.220094e-05   4.948264e+01 
  1.440000e+02   2.195216e-05   3.833523e-05   4.417564e-05   6.020296e+01 
  1.520000e+02   1.562866e-05   3.554988e-05   3.883361e-05   6.626845e+01 
  1.600000e+02   6.651384e-06   1.109600e-05   1.293685e-05   5.905985e+01 
  1.680000e+02   5.209169e-06   1.418408e-06   5.398826e-06   1.523183e+01 
  1.760000e+02   1.678367e-06   6.431000e-06   6.646403e-06   7.537315e+01 
  1.840000e+02  -2.547106e-06   5.487961e-06   6.050244e-06   1.148972e+02 
  1.920000e+02  -1.336137e-06   4.079758e-07   1.397035e-06   1.630205e+02 
  2.000000e+02   9.279596e-07   3.985069e-07   1.009909e-06   2.324082e+01 
  2.080000e+02  -1.745606e-07   2.741956e-06   2.747507e-06   9.364268e+01 
  2.160000e+02  -2.026471e-06   1.283553e-06   2.398769e-06   1.476501e+02 
  2.240000e+02  -1.118055e-06  -1.916888e-06   2.219123e-06  -1.202535e+02 
  2.320000e+02   2.045818e-07  -2.314522e-06   2.323546e-06  -8.494872e+01 
  2.400000e+02   1.377497e-07  -1.279792e-06   1.287184e-06  -8.385664e+01 
