Input File: 4192-05.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -7.085559e-05   8.202915e-08   7.085564e-05   1.799337e+02 
  2.000000e+00  -5.000563e-05   4.179824e-06   5.018002e-05   1.752219e+02 
  4.000000e+00  -1.763715e-05   4.202989e-06   1.813103e-05   1.665962e+02 
  6.000000e+00  -4.337963e-06  -5.289810e-07   4.370097e-06  -1.730475e+02 
  8.000000e+00  -2.027547e-06  -5.924656e-06   6.261988e-06  -1.088921e+02 
  1.000000e+01  -2.053141e-06  -8.296836e-06   8.547098e-06  -1.038992e+02 
  1.200000e+01  -3.843366e-06  -8.184091e-06   9.041615e-06  -1.151554e+02 
  1.400000e+01  -5.587182e-06  -5.471657e-06   7.820207e-06  -1.355985e+02 
  1.600000e+01  -6.332093e-06  -1.142225e-06   6.434289e-06  -1.697746e+02 
  1.800000e+01  -5.818837e-06   1.079344e-06   5.918094e-06   1.694916e+02 
  2.000000e+01  -3.704721e-06   5.789834e-07   3.749690e-06   1.711175e+02 
  2.200000e+01  -1.736233e-06   5.302419e-08   1.737043e-06   1.782507e+02 
  2.400000e+01  -1.508270e-06   1.458608e-06   2.098193e-06   1.359590e+02 
  2.600000e+01  -2.903590e-06   3.009496e-06   4.181853e-06   1.339739e+02 
  2.800000e+01  -3.878549e-06   1.248668e-06   4.074594e-06   1.621544e+02 
  3.000000e+01  -3.315591e-06  -2.541822e-06   4.177798e-06  -1.425252e+02 
  3.200000e+01  -2.101633e-06  -3.411435e-06   4.006838e-06  -1.216354e+02 
  3.400000e+01   8.152484e-07  -1.102085e-06   1.370847e-06  -5.350845e+01 
  3.600000e+01   4.037290e-06   3.988087e-08   4.037487e-06   5.659567e-01 
  3.800000e+01   3.367205e-06  -3.374603e-07   3.384073e-06  -5.723056e+00 
  4.000000e+01   7.660436e-07   4.930248e-07   9.109864e-07   3.276528e+01 
  4.200000e+01   3.108498e-07   1.442720e-06   1.475828e-06   7.784087e+01 
  4.400000e+01   8.456001e-07   9.395462e-07   1.264036e-06   4.801250e+01 
  4.600000e+01   6.111930e-07   4.860867e-07   7.809207e-07   3.849551e+01 
  4.800000e+01  -2.343342e-07   1.074653e-06   1.099905e-06   1.023011e+02 
  5.000000e+01  -1.521931e-06   1.391467e-06   2.062148e-06   1.375640e+02 
  5.200000e+01  -2.432826e-06   8.041180e-07   2.562273e-06   1.617098e+02 
  5.400000e+01  -1.324544e-06   1.215530e-06   1.797757e-06   1.374575e+02 
  5.600000e+01   5.612194e-06   5.315096e-06   7.729616e-06   4.344258e+01 
  5.800000e+01   2.052398e-05   1.403454e-05   2.486367e-05   3.436477e+01 
  6.000000e+01   2.947897e-05   1.923646e-05   3.520016e-05   3.312640e+01 
  6.200000e+01   1.983976e-05   1.324428e-05   2.385429e-05   3.372558e+01 
  6.400000e+01   5.512497e-06   4.531421e-06   7.135923e-06   3.942113e+01 
  6.600000e+01  -2.811861e-07   1.364848e-06   1.393512e-06   1.016412e+02 
  6.800000e+01  -1.004749e-06   8.633395e-07   1.324717e-06   1.393289e+02 
  7.000000e+01  -5.918549e-07   2.991293e-08   5.926103e-07   1.771067e+02 
