X[Hz],R[Vpk],I[Vpk],Mag[Vpk],P[deg]
0.00E+00,9.65E-05,-1.12E-07,9.65E-05,-6.63E-02
8.00E+00,7.01E-05,-5.72E-06,7.04E-05,-4.66E+00
1.60E+01,2.48E-05,-1.71E-06,2.49E-05,-3.95E+00
2.40E+01,-1.73E-07,3.43E-06,3.43E-06,9.29E+01
3.20E+01,-6.59E-06,4.42E-06,7.93E-06,1.46E+02
4.00E+01,-6.17E-06,5.80E-06,8.47E-06,1.37E+02
4.80E+01,-8.43E-06,1.32E-05,1.56E-05,1.23E+02
5.60E+01,-1.55E-05,2.35E-05,2.82E-05,1.23E+02
6.40E+01,-1.65E-05,2.20E-05,2.75E-05,1.27E+02
7.20E+01,-8.01E-06,9.36E-06,1.23E-05,1.31E+02
8.00E+01,-4.32E-07,1.44E-06,1.51E-06,1.07E+02
8.80E+01,1.40E-06,9.61E-07,1.69E-06,3.45E+01
9.60E+01,2.15E-07,2.29E-06,2.30E-06,8.46E+01
1.04E+02,-4.07E-07,2.22E-06,2.26E-06,1.00E+02
1.12E+02,6.08E-07,2.04E-06,2.13E-06,7.34E+01
1.20E+02,1.71E-06,3.50E-06,3.89E-06,6.39E+01
1.28E+02,9.96E-07,6.48E-06,6.56E-06,8.13E+01
1.36E+02,-1.45E-06,1.76E-05,1.76E-05,9.47E+01
1.44E+02,-5.40E-06,3.59E-05,3.63E-05,9.86E+01
1.52E+02,-9.44E-06,3.59E-05,3.71E-05,1.05E+02
1.60E+02,-7.14E-06,1.49E-05,1.65E-05,1.16E+02
1.68E+02,-2.86E-06,1.08E-06,3.06E-06,1.59E+02
1.76E+02,-4.10E-06,-1.59E-06,4.40E-06,-1.59E+02
1.84E+02,-4.64E-06,-1.70E-06,4.94E-06,-1.60E+02
1.92E+02,-1.70E-06,-3.16E-07,1.73E-06,-1.69E+02
2.00E+02,-8.87E-08,9.35E-07,9.39E-07,9.54E+01
2.08E+02,-6.31E-07,3.19E-07,7.07E-07,1.53E+02
2.16E+02,-8.66E-07,-2.85E-07,9.11E-07,-1.62E+02
2.24E+02,-1.15E-06,8.24E-07,1.42E-06,1.44E+02
2.32E+02,-1.53E-06,9.14E-07,1.78E-06,1.49E+02
2.40E+02,-1.29E-06,-1.42E-07,1.30E-06,-1.74E+02
2.48E+02,-1.10E-06,-1.08E-06,1.54E-06,-1.36E+02
2.56E+02,-2.03E-07,-1.73E-06,1.74E-06,-9.67E+01
2.64E+02,9.05E-07,-8.79E-07,1.26E-06,-4.41E+01
2.72E+02,7.09E-07,2.15E-07,7.41E-07,1.69E+01
2.80E+02,-6.92E-07,-6.66E-07,9.60E-07,-1.36E+02
2.88E+02,-7.46E-07,-2.83E-06,2.93E-06,-1.05E+02
2.96E+02,1.29E-06,-2.46E-06,2.77E-06,-6.24E+01
3.04E+02,8.46E-07,-4.01E-07,9.36E-07,-2.54E+01
3.12E+02,-8.87E-07,-3.71E-07,9.62E-07,-1.57E+02
3.20E+02,-1.13E-06,-3.01E-07,1.17E-06,-1.65E+02
3.28E+02,-1.15E-06,-5.99E-07,1.29E-06,-1.52E+02
3.36E+02,4.02E-07,-1.71E-06,1.76E-06,-7.68E+01
3.44E+02,2.39E-06,-3.96E-07,2.42E-06,-9.40E+00
3.52E+02,8.22E-07,2.91E-06,3.02E-06,7.42E+01
3.60E+02,-4.03E-06,1.24E-06,4.21E-06,1.63E+02
3.68E+02,-1.92E-06,-4.76E-06,5.13E-06,-1.12E+02
3.76E+02,2.94E-06,-2.90E-06,4.13E-06,-4.46E+01
3.84E+02,2.93E-06,-1.53E-06,3.30E-06,-2.75E+01
3.92E+02,2.49E-05,-6.56E-06,2.57E-05,-1.48E+01
4.00E+02,1.34E-04,-3.55E-05,1.38E-04,-1.49E+01
4.08E+02,3.30E-04,-7.79E-05,3.39E-04,-1.33E+01
4.16E+02,3.77E-04,-4.49E-05,3.80E-04,-6.79E+00
4.24E+02,1.77E-04,1.81E-05,1.78E-04,5.85E+00
4.32E+02,7.87E-06,5.87E-06,9.82E-06,3.67E+01
4.40E+02,-2.36E-06,-1.83E-05,1.85E-05,-9.74E+01
4.48E+02,1.33E-05,4.22E-07,1.33E-05,1.82E+00
4.56E+02,-8.51E-07,1.03E-05,1.04E-05,9.47E+01
4.64E+02,-5.94E-06,1.24E-07,5.95E-06,1.79E+02
4.72E+02,-1.75E-06,-1.88E-06,2.57E-06,-1.33E+02
4.80E+02,-1.33E-06,-1.54E-06,2.04E-06,-1.31E+02
4.88E+02,2.28E-06,-2.42E-06,3.33E-06,-4.67E+01
4.96E+02,5.15E-06,1.71E-06,5.43E-06,1.83E+01
5.04E+02,-5.21E-08,5.13E-06,5.13E-06,9.06E+01
5.12E+02,-4.95E-06,-1.13E-06,5.08E-06,-1.67E+02
5.20E+02,1.19E-06,-6.18E-06,6.29E-06,-7.91E+01
5.28E+02,4.86E-06,-8.52E-07,4.93E-06,-9.94E+00
5.36E+02,1.01E-06,1.69E-06,1.97E-06,5.92E+01
5.44E+02,-1.22E-09,1.03E-06,1.03E-06,9.01E+01
5.52E+02,-1.52E-06,1.75E-06,2.32E-06,1.31E+02
5.60E+02,-3.35E-06,-1.53E-06,3.68E-06,-1.55E+02
5.68E+02,1.12E-06,-4.81E-06,4.94E-06,-7.69E+01
5.76E+02,6.16E-06,4.63E-07,6.18E-06,4.30E+00
5.84E+02,4.03E-07,7.02E-06,7.03E-06,8.67E+01
5.92E+02,-7.13E-06,6.57E-07,7.16E-06,1.75E+02
6.00E+02,-1.16E-06,-6.61E-06,6.71E-06,-1.00E+02
6.08E+02,4.88E-06,-1.73E-06,5.18E-06,-1.95E+01
6.16E+02,1.96E-06,2.56E-06,3.23E-06,5.25E+01
6.24E+02,-7.75E-07,1.73E-06,1.90E-06,1.14E+02
6.32E+02,-1.49E-06,3.52E-07,1.53E-06,1.67E+02
6.40E+02,-1.53E-06,-8.31E-07,1.74E-06,-1.52E+02
6.48E+02,1.27E-07,-2.36E-06,2.36E-06,-8.69E+01
6.56E+02,3.75E-06,-3.75E-07,3.77E-06,-5.70E+00
6.64E+02,9.49E-07,4.53E-06,4.62E-06,7.82E+01
6.72E+02,-4.40E-06,1.77E-06,4.75E-06,1.58E+02
6.80E+02,-2.33E-06,-2.26E-06,3.24E-06,-1.36E+02
6.88E+02,2.43E-07,-2.20E-06,2.21E-06,-8.37E+01
6.96E+02,2.88E-06,-1.71E-06,3.35E-06,-3.07E+01
7.04E+02,4.40E-06,2.98E-06,5.32E-06,3.41E+01
7.12E+02,-9.67E-07,6.44E-06,6.52E-06,9.85E+01
7.20E+02,-6.63E-06,7.74E-07,6.68E-06,1.73E+02
7.28E+02,-1.19E-06,-8.41E-06,8.49E-06,-9.81E+01
7.36E+02,1.06E-05,-3.53E-06,1.12E-05,-1.84E+01
7.44E+02,5.67E-06,8.39E-06,1.01E-05,5.60E+01
7.52E+02,-4.93E-06,4.78E-06,6.86E-06,1.36E+02
7.60E+02,-5.92E-06,-2.27E-06,6.34E-06,-1.59E+02
7.68E+02,-2.85E-06,-9.18E-06,9.62E-06,-1.07E+02
7.76E+02,9.66E-06,-7.83E-06,1.24E-05,-3.90E+01
