Input File: 4192-08.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   4.349412e-05  -5.035291e-08   4.349415e-05  -6.633098e-02 
  2.000000e+00   3.180142e-05   3.435972e-06   3.198650e-05   6.166578e+00 
  4.000000e+00   1.326384e-05   4.064866e-06   1.387272e-05   1.703833e+01 
  6.000000e+00   6.996013e-06   4.853809e-06   8.514909e-06   3.475277e+01 
  8.000000e+00   8.217396e-06   7.010572e-06   1.080156e-05   4.046875e+01 
  1.000000e+01   6.052918e-06   7.591674e-06   9.709343e-06   5.143429e+01 
  1.200000e+01  -6.185517e-07   6.148010e-06   6.179047e-06   9.574519e+01 
  1.400000e+01  -5.395895e-06   3.477016e-06   6.419137e-06   1.472030e+02 
  1.600000e+01  -4.648781e-06   1.643346e-06   4.930695e-06   1.605315e+02 
  1.800000e+01  -1.085119e-06   2.530454e-06   2.753304e-06   1.132108e+02 
  2.000000e+01   2.654743e-06   4.573703e-06   5.288328e-06   5.986756e+01 
  2.200000e+01   4.846337e-06   5.015399e-06   6.974325e-06   4.598213e+01 
  2.400000e+01   4.045064e-06   2.609165e-06   4.813552e-06   3.282301e+01 
  2.600000e+01   2.181694e-06   1.959196e-07   2.190474e-06   5.131486e+00 
  2.800000e+01   9.668796e-07  -2.752066e-07   1.005283e-06  -1.588814e+01 
  3.000000e+01  -2.993212e-07  -1.327237e-06   1.360570e-06  -1.027088e+02 
  3.200000e+01  -1.610055e-06  -2.123861e-06   2.665157e-06  -1.271650e+02 
  3.400000e+01  -2.486170e-06   5.438047e-07   2.544949e-06   1.676619e+02 
  3.600000e+01  -3.583182e-06   3.600539e-06   5.079673e-06   1.348616e+02 
  3.800000e+01  -5.376659e-06   3.102927e-06   6.207787e-06   1.500103e+02 
  4.000000e+01  -6.483966e-06   1.071223e-06   6.571859e-06   1.706188e+02 
  4.200000e+01  -5.443081e-06  -6.507817e-07   5.481847e-06  -1.731820e+02 
  4.400000e+01  -3.079715e-06  -2.500124e-06   3.966771e-06  -1.409302e+02 
  4.600000e+01  -1.600236e-06  -2.435585e-06   2.914246e-06  -1.233058e+02 
  4.800000e+01  -1.688071e-06   5.084024e-07   1.762968e-06   1.632391e+02 
  5.000000e+01  -1.602074e-06   2.765981e-06   3.196450e-06   1.200797e+02 
  5.200000e+01  -8.151577e-07   2.397348e-06   2.532145e-06   1.087793e+02 
  5.400000e+01  -8.548315e-07   4.973487e-07   9.889857e-07   1.498088e+02 
  5.600000e+01  -7.519475e-07  -6.403893e-06   6.447889e-06  -9.669702e+01 
  5.800000e+01   1.980562e-06  -2.255576e-05   2.264255e-05  -8.498188e+01 
  6.000000e+01   5.002759e-06  -3.271698e-05   3.309725e-05  -8.130623e+01 
  6.200000e+01   4.466799e-06  -2.154521e-05   2.200337e-05  -7.828725e+01 
  6.400000e+01   2.674330e-06  -5.394660e-06   6.021162e-06  -6.363071e+01 
  6.600000e+01   2.937632e-06  -1.336938e-07   2.940672e-06  -2.605775e+00 
  6.800000e+01   3.979388e-06  -4.330813e-07   4.002885e-06  -6.211119e+00 
  7.000000e+01   4.247727e-06  -6.092882e-07   4.291202e-06  -8.162750e+00 
  7.200000e+01   3.837684e-06  -3.904686e-07   3.857497e-06  -5.809618e+00 
  7.400000e+01   2.464933e-06   4.707092e-08   2.465382e-06   1.094000e+00 
  7.600000e+01   4.661224e-07   6.234887e-07   7.784654e-07   5.321807e+01 
  7.800000e+01  -6.251273e-07   9.322781e-07   1.122464e-06   1.238433e+02 
  8.000000e+01   1.315952e-07   1.028480e-06   1.036865e-06   8.270855e+01 
  8.200000e+01   1.598037e-06   8.805602e-07   1.824584e-06   2.885592e+01 
  8.400000e+01   1.545700e-06   3.358917e-07   1.581775e-06   1.226017e+01 
  8.600000e+01  -1.484786e-07  -3.675846e-07   3.964396e-07  -1.119953e+02 
  8.800000e+01  -1.739077e-06  -7.632705e-07   1.899203e-06  -1.563036e+02 
  9.000000e+01  -2.240796e-06  -3.507062e-07   2.268074e-06  -1.711048e+02 
  9.200000e+01  -1.385547e-06   3.666248e-07   1.433232e-06   1.651788e+02 
  9.400000e+01   2.633810e-07   4.924424e-07   5.584524e-07   6.186007e+01 
  9.600000e+01   1.013004e-06   2.592160e-07   1.045643e-06   1.435334e+01 
  9.800000e+01   6.098248e-07   2.788102e-07   6.705382e-07   2.456975e+01 
  1.000000e+02   3.149964e-07   6.789963e-07   7.485044e-07   6.511272e+01 
  1.020000e+02   2.773955e-07   8.670064e-07   9.103013e-07   7.225811e+01 
  1.040000e+02   2.126254e-07   1.121162e-07   2.403738e-07   2.780243e+01 
  1.060000e+02   2.160745e-07  -1.017338e-06   1.040031e-06  -7.800901e+01 
  1.080000e+02   3.945044e-08  -1.071392e-06   1.072118e-06  -8.789122e+01 
  1.100000e+02  -1.072433e-07   6.620544e-08   1.260329e-07   1.483113e+02 
  1.120000e+02   3.122266e-07   8.315602e-07   8.882442e-07   6.942030e+01 
  1.140000e+02   9.403603e-07   4.828030e-07   1.057060e-06   2.717703e+01 
  1.160000e+02   1.209764e-06  -2.445974e-07   1.234243e-06  -1.143032e+01 
  1.180000e+02   9.177676e-07  -7.500545e-07   1.185276e-06  -3.925774e+01 
  1.200000e+02   2.296781e-07  -7.200115e-07   7.557570e-07  -7.230772e+01 
  1.220000e+02  -3.090705e-07  -2.944508e-07   4.268792e-07  -1.363876e+02 
  1.240000e+02  -9.228663e-07  -1.973661e-07   9.437348e-07  -1.679284e+02 
  1.260000e+02  -1.448028e-06  -3.698284e-07   1.494509e-06  -1.656728e+02 
  1.280000e+02  -1.242380e-06  -3.015378e-07   1.278449e-06  -1.663575e+02 
  1.300000e+02  -8.106311e-07  -3.475374e-07   8.819893e-07  -1.567940e+02 
  1.320000e+02  -6.188238e-07  -6.398215e-07   8.901204e-07  -1.340442e+02 
  1.340000e+02  -1.539432e-07  -6.664152e-07   6.839647e-07  -1.030073e+02 
  1.360000e+02   7.244317e-07  -2.813664e-07   7.771540e-07  -2.122597e+01 
  1.380000e+02   1.012701e-06  -2.472619e-07   1.042450e-06  -1.372093e+01 
  1.400000e+02   6.692356e-07  -5.407687e-07   8.604110e-07  -3.893957e+01 
  1.420000e+02  -3.926282e-08  -1.532512e-07   1.582009e-07  -1.043700e+02 
  1.440000e+02  -4.057104e-06  -8.201671e-07   4.139175e-06  -1.685713e+02 
  1.460000e+02  -9.878964e-06  -5.667705e-06   1.138933e-05  -1.501565e+02 
  1.480000e+02  -8.884052e-06  -9.276443e-06   1.284441e-05  -1.337622e+02 
  1.500000e+02  -3.017971e-06  -6.334805e-06   7.016973e-06  -1.154736e+02 
  1.520000e+02  -1.700014e-07  -2.407678e-06   2.413672e-06  -9.403883e+01 
  1.540000e+02  -1.715428e-07  -6.446318e-07   6.670660e-07  -1.049016e+02 
  1.560000e+02  -5.458560e-07   3.607673e-07   6.543026e-07   1.465385e+02 
  1.580000e+02  -4.876573e-07   8.131788e-07   9.481927e-07   1.209508e+02 
