Input File: 4192-11.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 6.4 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   2.147062e-05  -2.485642e-08   2.147063e-05  -6.633099e-02 
  8.000000e+00   1.708194e-05  -8.704407e-06   1.917184e-05  -2.700192e+01 
  1.600000e+01   1.406284e-05  -1.298090e-05   1.913812e-05  -4.270898e+01 
  2.400000e+01   1.564247e-05  -9.562681e-06   1.833389e-05  -3.143862e+01 
  3.200000e+01   1.422468e-05  -4.100760e-06   1.480398e-05  -1.608147e+01 
  4.000000e+01   8.461997e-06  -2.259901e-06   8.758569e-06  -1.495271e+01 
  4.800000e+01  -7.125396e-06  -4.098211e-06   8.219890e-06  -1.500944e+02 
  5.600000e+01  -2.652460e-05  -7.164206e-06   2.747509e-05  -1.648853e+02 
  6.400000e+01  -2.753911e-05  -7.304422e-06   2.849135e-05  -1.651450e+02 
  7.200000e+01  -1.276068e-05  -4.164090e-06   1.342291e-05  -1.619274e+02 
  8.000000e+01  -3.406653e-06  -1.477514e-06   3.713265e-06  -1.565529e+02 
  8.800000e+01  -1.130899e-06  -7.650813e-08   1.133484e-06  -1.761297e+02 
  9.600000e+01   4.409083e-08   5.244555e-07   5.263056e-07   8.519446e+01 
  1.040000e+02   8.860267e-07  -7.062856e-07   1.133085e-06  -3.855968e+01 
  1.120000e+02   1.076796e-06  -2.891657e-06   3.085639e-06  -6.957566e+01 
  1.200000e+02   8.943961e-08  -3.033752e-06   3.035070e-06  -8.831132e+01 
  1.280000e+02   1.041990e-05   7.239118e-06   1.268776e-05   3.478923e+01 
  1.360000e+02   6.055809e-05   5.500090e-05   8.180697e-05   4.224678e+01 
  1.440000e+02   1.177315e-04   1.252891e-04   1.719246e-04   4.678126e+01 
  1.520000e+02   1.003654e-04   1.261971e-04   1.612418e-04   5.150455e+01 
  1.600000e+02   3.766480e-05   5.498877e-05   6.665134e-05   5.559063e+01 
  1.680000e+02   8.346451e-06   7.372215e-06   1.113610e-05   4.145337e+01 
  1.760000e+02   6.405159e-06   1.708126e-06   6.629009e-06   1.493211e+01 
  1.840000e+02   4.891372e-06   2.772023e-06   5.622244e-06   2.954096e+01 
  1.920000e+02   2.498453e-06   9.114759e-07   2.659521e-06   2.004279e+01 
  2.000000e+02   1.416247e-06  -9.011796e-08   1.419111e-06  -3.640910e+00 
  2.080000e+02   2.823075e-07   3.819134e-08   2.848791e-07   7.704359e+00 
  2.160000e+02  -7.181881e-07  -2.069518e-07   7.474110e-07  -1.639252e+02 
  2.240000e+02  -2.092134e-07  -4.628578e-07   5.079445e-07  -1.143231e+02 
  2.320000e+02   7.553654e-07  -2.528519e-07   7.965619e-07  -1.850752e+01 
  2.400000e+02   5.609139e-07  -3.210199e-07   6.462803e-07  -2.978319e+01 
  2.480000e+02  -2.276770e-07  -8.315066e-07   8.621137e-07  -1.053130e+02 
  2.560000e+02   1.098346e-07  -6.472688e-07   6.565215e-07  -8.036926e+01 
  2.640000e+02   8.370034e-07   4.690469e-07   9.594685e-07   2.926576e+01 
  2.720000e+02  -1.647189e-08   5.808843e-07   5.811178e-07   9.162427e+01 
  2.800000e+02  -1.139223e-06  -7.126280e-07   1.343752e-06  -1.479724e+02 
  2.880000e+02  -9.861002e-07  -1.888957e-06   2.130857e-06  -1.175661e+02 
  2.960000e+02  -1.183468e-06  -1.905794e-06   2.243356e-06  -1.218396e+02 
  3.040000e+02  -2.324714e-06  -1.355978e-06   2.691277e-06  -1.497455e+02 
  3.120000e+02  -2.376687e-06  -1.422127e-06   2.769673e-06  -1.491052e+02 
  3.200000e+02  -8.278103e-07  -1.537473e-06   1.746165e-06  -1.182990e+02 
  3.280000e+02   3.076736e-08  -3.889973e-07   3.902122e-07  -8.547765e+01 
  3.360000e+02  -1.091179e-06   1.017174e-07   1.095909e-06   1.746744e+02 
  3.440000e+02  -1.712545e-06  -1.431295e-06   2.231908e-06  -1.401121e+02 
  3.520000e+02   3.217053e-08  -1.858289e-06   1.858567e-06  -8.900819e+01 
  3.600000e+02   1.060046e-06   5.769185e-07   1.206869e-06   2.855676e+01 
  3.680000e+02  -1.184199e-06   1.222863e-06   1.702270e-06   1.340797e+02 
  3.760000e+02  -1.719870e-06  -3.375960e-06   3.788808e-06  -1.169964e+02 
  3.840000e+02   4.626181e-06  -7.091796e-06   8.467297e-06  -5.688244e+01 
  3.920000e+02   5.276341e-05  -1.716354e-05   5.548481e-05  -1.801931e+01 
  4.000000e+02   2.939583e-04  -5.283127e-05   2.986680e-04  -1.018864e+01 
  4.080000e+02   6.650935e-04  -5.619179e-05   6.674630e-04  -4.829283e+00 
  4.160000e+02   6.769738e-04   5.508733e-06   6.769962e-04   4.662221e-01 
  4.240000e+02   3.040613e-04   3.081322e-05   3.056185e-04   5.786535e+00 
  4.320000e+02   4.708590e-05   4.271950e-06   4.727930e-05   5.184066e+00 
  4.400000e+02   2.552139e-06  -4.365597e-06   5.056861e-06  -5.968933e+01 
  4.480000e+02   1.015180e-06   1.356525e-06   1.694329e-06   5.318998e+01 
  4.560000e+02  -1.674162e-06   5.915376e-07   1.775594e-06   1.605400e+02 
  4.640000e+02  -6.180464e-07  -1.692548e-06   1.801861e-06  -1.100600e+02 
  4.720000e+02   8.722520e-07  -2.938517e-07   9.204197e-07  -1.861808e+01 
  4.800000e+02  -2.371716e-07   9.565533e-07   9.855174e-07   1.039253e+02 
  4.880000e+02  -1.004083e-06  -8.705587e-07   1.328930e-06  -1.390741e+02 
  4.960000e+02   4.214701e-07  -2.237613e-06   2.276961e-06  -7.933291e+01 
  5.040000e+02   1.099054e-06  -8.902942e-07   1.414406e-06  -3.900938e+01 
  5.120000e+02  -2.279062e-07  -3.573769e-07   4.238626e-07  -1.225264e+02 
  5.200000e+02  -1.934553e-07  -1.898194e-06   1.908026e-06  -9.581923e+01 
  5.280000e+02   1.457221e-06  -1.731265e-06   2.262912e-06  -4.991238e+01 
  5.360000e+02   1.258430e-06   7.245420e-07   1.452105e-06   2.993121e+01 
  5.440000e+02  -6.271870e-07   2.276608e-06   2.361421e-06   1.054024e+02 
  5.520000e+02  -2.104570e-06   2.196600e-06   3.042083e-06   1.337742e+02 
  5.600000e+02  -2.102739e-06   1.329069e-06   2.487556e-06   1.477044e+02 
  5.680000e+02  -8.448512e-07   5.295094e-07   9.970726e-07   1.479226e+02 
