Input File: 4192-09.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 6.4 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   9.234939e-05  -1.069124e-07   9.234945e-05  -6.633098e-02 
  8.000000e+00   6.636686e-05  -4.757135e-06   6.653713e-05  -4.099914e+00 
  1.600000e+01   2.680342e-05  -8.702026e-06   2.818065e-05  -1.798659e+01 
  2.400000e+01   1.252343e-05  -1.261182e-05   1.777342e-05  -4.520148e+01 
  3.200000e+01   1.202554e-05  -1.369972e-05   1.822899e-05  -4.872350e+01 
  4.000000e+01   1.189295e-05  -8.368341e-06   1.454206e-05  -3.513169e+01 
  4.800000e+01   1.358627e-05   5.888024e-06   1.480728e-05   2.343096e+01 
  5.600000e+01   1.731880e-05   2.290075e-05   2.871211e-05   5.290142e+01 
  6.400000e+01   1.494259e-05   2.511082e-05   2.922044e-05   5.924456e+01 
  7.200000e+01   6.439462e-06   1.285122e-05   1.437430e-05   6.338557e+01 
  8.000000e+01   1.036119e-07   3.761283e-06   3.762710e-06   8.842207e+01 
  8.800000e+01  -2.238652e-06   1.564516e-06   2.731167e-06   1.450516e+02 
  9.600000e+01  -2.170535e-06   1.618571e-06   2.707581e-06   1.432880e+02 
  1.040000e+02  -1.846916e-06   8.472155e-07   2.031963e-06   1.553582e+02 
  1.120000e+02  -1.801377e-06  -1.194003e-06   2.161158e-06  -1.464625e+02 
  1.200000e+02  -1.455333e-06   3.781383e-07   1.503657e-06   1.654349e+02 
  1.280000e+02   4.385390e-06   4.663599e-06   6.401624e-06   4.676099e+01 
  1.360000e+02   3.534709e-05   1.568518e-05   3.867094e-05   2.392913e+01 
  1.440000e+02   7.208962e-05   3.845386e-05   8.170443e-05   2.807624e+01 
  1.520000e+02   6.113364e-05   4.213927e-05   7.424985e-05   3.457840e+01 
  1.600000e+02   2.339565e-05   1.909144e-05   3.019668e-05   3.921531e+01 
  1.680000e+02   5.599494e-06   4.236548e-06   7.021586e-06   3.711096e+01 
  1.760000e+02   3.808001e-06   9.717294e-07   3.930029e-06   1.431529e+01 
  1.840000e+02   4.969641e-06   2.517894e-07   4.976015e-06   2.900440e+00 
  1.920000e+02   2.997878e-06   2.982200e-06   4.228568e-06   4.484978e+01 
  2.000000e+02  -7.904417e-07   3.226891e-06   3.322292e-06   1.037638e+02 
  2.080000e+02  -1.000004e-06   5.014511e-07   1.118688e-06   1.533686e+02 
  2.160000e+02  -2.739504e-07   2.274161e-07   3.560434e-07   1.403027e+02 
  2.240000e+02  -1.742124e-06   5.735250e-07   1.834101e-06   1.617779e+02 
  2.320000e+02  -1.843659e-06  -5.045701e-07   1.911458e-06  -1.646942e+02 
  2.400000e+02  -1.563587e-07  -2.240215e-07   2.731916e-07  -1.249136e+02 
  2.480000e+02  -3.132387e-07   6.920538e-07   7.596427e-07   1.143525e+02 
  2.560000e+02  -6.168935e-07   1.051510e-07   6.257910e-07   1.703268e+02 
  2.640000e+02   7.001169e-07   8.989676e-08   7.058647e-07   7.316885e+00 
  2.720000e+02   5.086021e-07   6.818719e-07   8.506618e-07   5.328107e+01 
  2.800000e+02  -5.975594e-07  -3.168279e-07   6.763557e-07  -1.520673e+02 
  2.880000e+02   5.051267e-07  -1.013857e-06   1.132722e-06  -6.351647e+01 
  2.960000e+02   1.627276e-06   1.883270e-07   1.638138e-06   6.601552e+00 
  3.040000e+02   8.705993e-07   8.593568e-07   1.223289e-06   4.462766e+01 
  3.120000e+02   5.944309e-07   5.554240e-07   8.135379e-07   4.305708e+01 
  3.200000e+02   3.973598e-07   6.744939e-07   7.828389e-07   5.949668e+01 
  3.280000e+02  -8.055440e-07   3.012148e-07   8.600183e-07   1.594979e+02 
  3.360000e+02  -9.297946e-07  -4.146244e-07   1.018053e-06  -1.559664e+02 
  3.440000e+02  -1.849038e-07   5.036971e-07   5.365633e-07   1.101578e+02 
  3.520000e+02  -6.748454e-07   1.485778e-06   1.631855e-06   1.144277e+02 
  3.600000e+02  -8.615008e-07   4.119757e-07   9.549385e-07   1.544425e+02 
  3.680000e+02   5.820084e-08  -4.222498e-07   4.262420e-07  -8.215208e+01 
  3.760000e+02  -4.970959e-08   3.267684e-08   5.948798e-08   1.466809e+02 
  3.840000e+02  -8.019151e-07   1.429793e-07   8.145618e-07   1.698905e+02 
  3.920000e+02  -1.670171e-07   3.382813e-07   3.772651e-07   1.162766e+02 
  4.000000e+02   5.141819e-07   2.091002e-06   2.153294e-06   7.618494e+01 
  4.080000e+02  -2.957263e-07   4.138444e-06   4.148997e-06   9.408730e+01 
  4.160000e+02  -8.041296e-07   4.236781e-06   4.312416e-06   1.007467e+02 
  4.240000e+02  -4.205191e-07   2.779354e-06   2.810987e-06   9.860365e+01 
  4.320000e+02  -3.837768e-07   1.169188e-06   1.230563e-06   1.081720e+02 
  4.400000e+02  -1.772106e-07  -1.220350e-07   2.151654e-07  -1.454470e+02 
  4.480000e+02   3.669357e-07  -4.229279e-07   5.599195e-07  -4.905483e+01 
  4.560000e+02   1.068455e-07  -2.910033e-07   3.099981e-07  -6.983865e+01 
  4.640000e+02  -3.488441e-07  -5.513376e-07   6.524303e-07  -1.223225e+02 
  4.720000e+02  -2.932128e-07  -5.351732e-07   6.102329e-07  -1.187176e+02 
  4.800000e+02  -3.368191e-07  -2.607899e-08   3.378272e-07  -1.755726e+02 
  4.880000e+02  -5.893128e-07   2.793904e-07   6.521875e-07   1.546346e+02 
  4.960000e+02  -5.570622e-07   9.867119e-08   5.657334e-07   1.699555e+02 
  5.040000e+02  -3.507585e-07  -1.673794e-07   3.886481e-07  -1.544899e+02 
  5.120000e+02   1.140558e-08  -6.108100e-07   6.109165e-07  -8.893024e+01 
  5.200000e+02   7.407593e-07  -8.197376e-07   1.104850e-06  -4.789732e+01 
  5.280000e+02   1.362922e-06  -1.020691e-07   1.366739e-06  -4.282879e+00 
  5.360000e+02   1.303824e-06   1.040296e-06   1.667984e-06   3.858568e+01 
  5.440000e+02   4.462090e-07   1.183447e-06   1.264773e-06   6.934146e+01 
  5.520000e+02  -2.416581e-07   2.158125e-07   3.239964e-07   1.382336e+02 
  5.600000e+02  -1.671224e-07  -1.735342e-07   2.409232e-07  -1.339217e+02 
  5.680000e+02  -2.022615e-07   6.199921e-07   6.521503e-07   1.080680e+02 
  5.760000e+02  -3.612534e-07   5.108394e-07   6.256683e-07   1.252670e+02 
  5.840000e+02   7.443404e-07  -2.462589e-07   7.840192e-07  -1.830637e+01 
  5.920000e+02   1.302034e-06   3.711103e-07   1.353889e-06   1.590880e+01 
  6.000000e+02  -1.190949e-08   4.010761e-07   4.012529e-07   9.170082e+01 
  6.080000e+02  -5.046340e-07  -1.185008e-06   1.287983e-06  -1.130667e+02 
  6.160000e+02   1.809927e-07  -9.137215e-07   9.314748e-07  -7.879572e+01 
  6.240000e+02  -1.009704e-06   5.378851e-07   1.144038e-06   1.519551e+02 
  6.320000e+02  -1.391800e-06  -4.554740e-07   1.464433e-06  -1.618790e+02 
  6.400000e+02   8.881904e-07  -4.418169e-07   9.920102e-07  -2.644735e+01 
  6.480000e+02   5.570669e-07   1.383635e-06   1.491566e-06   6.806973e+01 
  6.560000e+02  -1.091567e-06  -3.042310e-07   1.133170e-06  -1.644263e+02 
  6.640000e+02   1.456309e-06  -1.851908e-06   2.355929e-06  -5.181908e+01 
  6.720000e+02   1.901677e-06   1.422454e-06   2.374816e-06   3.679648e+01 
  6.800000e+02  -1.842124e-06   1.259310e-06   2.231430e-06   1.456427e+02 
  6.880000e+02  -4.042019e-07  -2.025098e-06   2.065043e-06  -1.012877e+02 
  6.960000e+02   1.831606e-06   7.819324e-07   1.991532e-06   2.311815e+01 
  7.040000e+02  -2.621039e-06   2.492456e-06   3.616930e-06   1.364404e+02 
  7.120000e+02  -2.650397e-06  -2.096695e-06   3.379458e-06  -1.416529e+02 
  7.200000e+02   2.713232e-06   1.680638e-07   2.718433e-06   3.544503e+00 
  7.280000e+02  -1.546381e-06   4.716514e-06   4.963547e-06   1.081525e+02 
  7.360000e+02  -4.760817e-06  -2.609870e-06   5.429255e-06  -1.512685e+02 
  7.440000e+02   3.530599e-06  -3.972705e-06   5.314839e-06  -4.837205e+01 
  7.520000e+02   1.229879e-06   4.802440e-06   4.957422e-06   7.563557e+01 
  7.600000e+02  -6.681583e-06  -1.988854e-06   6.971305e-06  -1.634237e+02 
  7.680000e+02   4.878110e-06  -6.396011e-06   8.043937e-06  -5.266795e+01 
  7.760000e+02  -3.438380e-06   9.996321e-06   1.057113e-05   1.089814e+02 
  7.840000e+02  -3.634160e-05  -9.163872e-06   3.747917e-05  -1.658474e+02 
  7.920000e+02  -7.580008e-05  -1.288687e-04   1.495086e-04  -1.204639e+02 
  8.000000e+02  -1.938524e-04  -6.542253e-04   6.823412e-04  -1.065050e+02 
  8.080000e+02  -1.585644e-04  -1.480989e-03   1.489454e-03  -9.611118e+01 
  8.160000e+02   1.090113e-04  -1.473654e-03   1.477681e-03  -8.576933e+01 
  8.240000e+02   1.531795e-04  -6.224143e-04   6.409864e-04  -7.617397e+01 
  8.320000e+02   2.415861e-05  -9.462857e-05   9.766374e-05  -7.567834e+01 
  8.400000e+02  -3.966363e-07   1.933291e-07   4.412442e-07   1.540144e+02 
  8.480000e+02  -5.613606e-06   1.379661e-05   1.489493e-05   1.121406e+02 
  8.560000e+02  -1.040627e-05  -4.137477e-06   1.119862e-05  -1.583175e+02 
  8.640000e+02   6.088338e-06  -5.811957e-06   8.417049e-06  -4.366956e+01 
