Input File: 4192-01.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   5.031268e-05  -5.824673e-08   5.031272e-05  -6.633098e-02 
  2.000000e+00   3.192620e-05   9.699189e-07   3.194093e-05   1.740112e+00 
  4.000000e+00   3.222828e-06   1.911653e-06   3.747137e-06   3.067473e+01 
  6.000000e+00  -6.915991e-06   6.220748e-07   6.943912e-06   1.748602e+02 
  8.000000e+00  -3.698454e-06  -3.500743e-07   3.714985e-06  -1.745928e+02 
  1.000000e+01   1.803519e-06   2.825825e-07   1.825523e-06   8.904928e+00 
  1.200000e+01   4.263340e-06  -1.359947e-06   4.474989e-06  -1.769197e+01 
  1.400000e+01   2.202474e-06  -5.211849e-06   5.658115e-06  -6.709158e+01 
  1.600000e+01  -1.217158e-06  -7.168921e-06   7.271513e-06  -9.963593e+01 
  1.800000e+01  -1.382985e-06  -5.680291e-06   5.846225e-06  -1.036836e+02 
  2.000000e+01   5.208017e-06  -1.879139e-06   5.536660e-06  -1.984028e+01 
  2.200000e+01   1.377762e-05   3.306067e-06   1.416873e-05   1.349352e+01 
  2.400000e+01   1.241526e-05   6.119825e-06   1.384164e-05   2.623996e+01 
  2.600000e+01   2.837258e-06   3.764618e-06   4.714062e-06   5.299597e+01 
  2.800000e+01  -3.180294e-06   6.455372e-07   3.245148e-06   1.685260e+02 
  3.000000e+01  -4.618997e-06   4.144636e-07   4.637555e-06   1.748726e+02 
  3.200000e+01  -4.682083e-06   1.533906e-06   4.926943e-06   1.618606e+02 
  3.400000e+01  -3.009816e-06   1.980095e-06   3.602745e-06   1.466599e+02 
  3.600000e+01  -5.472439e-07   9.654470e-07   1.109759e-06   1.195458e+02 
  3.800000e+01   7.699754e-07   2.649205e-07   8.142757e-07   1.898648e+01 
  4.000000e+01   6.449477e-07   1.606070e-06   1.730728e-06   6.812114e+01 
  4.200000e+01  -5.185782e-08   3.974381e-06   3.974719e-06   9.074755e+01 
  4.400000e+01  -1.232307e-06   6.000356e-06   6.125590e-06   1.016056e+02 
  4.600000e+01  -2.083914e-06   5.986096e-06   6.338457e-06   1.091943e+02 
  4.800000e+01  -1.211089e-06   3.185890e-06   3.408318e-06   1.108139e+02 
  5.000000e+01   1.052200e-06  -1.529129e-07   1.063253e-06  -8.268726e+00 
  5.200000e+01   3.015735e-06  -2.448925e-06   3.884828e-06  -3.907829e+01 
  5.400000e+01   3.150472e-06  -3.464348e-06   4.682646e-06  -4.771667e+01 
  5.600000e+01   6.216042e-06   3.048123e-07   6.223511e-06   2.807329e+00 
  5.800000e+01   1.798238e-05   1.206905e-05   2.165706e-05   3.386793e+01 
