84.5,5.63,6.006,0.004268
85,5.67,6.044,0.004288
85.5,5.7,6.08,0.004293
86,5.73,6.113,0.004317
86.5,5.77,6.146,0.004319
87,5.8,6.174,0.004317
87.5,5.83,6.196,0.004336
88,5.87,6.213,0.004335
88.5,5.9,6.217,0.004335
89,5.93,6.224,0.004335
89.5,5.97,6.24,0.004355
90,6,6.268,0.00435
90.5,6.03,6.302,0.00438
91,6.07,6.343,0.004384
91.5,6.1,6.387,0.004389
92,6.13,6.432,0.0044
92.5,6.17,6.475,0.004422
93,6.2,6.515,0.004432
93.5,6.23,6.55,0.004457
94,6.27,6.584,0.00446
94.5,6.3,6.612,0.004468
95,6.33,6.635,0.004473
95.5,6.37,6.652,0.004465
96,6.4,6.67,0.004482
96.5,6.43,6.696,0.004489
97,6.47,6.727,0.004508
97.5,6.5,6.766,0.004502
98,6.53,6.811,0.004516
98.5,6.57,6.857,0.004547
99,6.6,6.904,0.004546
99.5,6.63,6.95,0.004564
100,6.67,6.992,0.004586
100.5,6.7,7.031,0.004589
101,6.73,7.069,0.004595
101.5,6.77,7.098,0.00461
102,6.8,7.12,0.004615
102.5,6.83,7.136,0.004616
103,6.87,7.148,0.004629
103.5,6.9,7.171,0.004635
104,6.93,7.203,0.004641
104.5,6.97,7.243,0.004668
105,7,7.286,0.004664
105.5,7.03,7.336,0.004681
106,7.07,7.384,0.004679
106.5,7.1,7.43,0.004707
107,7.13,7.474,0.004722
107.5,7.17,7.52,0.004731
108,7.2,7.564,0.004736
108.5,7.23,7.605,0.004765
109,7.27,7.644,0.004773
109.5,7.3,7.68,0.004772
110,7.33,7.71,0.004796
110.5,7.37,7.742,0.004788
111,7.4,7.773,0.004813
111.5,7.43,7.805,0.004813
112,7.47,7.844,0.00482
112.5,7.5,7.891,0.004842
113,7.53,7.937,0.004853
113.5,7.57,7.984,0.004866
114,7.6,8.03,0.004876
114.5,7.63,8.08,0.004879
115,7.67,8.128,0.004894
115.5,7.7,8.177,0.004921
116,7.73,8.226,0.00493
116.5,7.77,8.274,0.004942
117,7.8,8.319,0.004947
117.5,7.83,8.359,0.004966
118,7.87,8.396,0.004971
118.5,7.9,8.431,0.00497
119,7.93,8.464,0.004981
119.5,7.97,8.499,0.004999
120,8,8.532,0.005009
120.5,8.03,8.571,0.004999
121,8.07,8.613,0.005037
121.5,8.1,8.658,0.005039
122,8.13,8.706,0.00504
122.5,8.17,8.753,0.005058
123,8.2,8.796,0.004891
123.5,8.23,8.844,0.004882
124,8.27,8.892,0.00486
124.5,8.3,8.939,0.00487
125,8.33,8.985,0.004878
125.5,8.37,9.028,0.004908
126,8.4,9.065,0.004921
126.5,8.43,9.099,0.004923
127,8.47,9.129,0.004935
127.5,8.5,9.156,0.004934
128,8.53,9.179,0.004942
128.5,8.57,9.202,0.004959
129,8.6,9.224,0.004959
129.5,8.63,9.243,0.004975
130,8.67,9.262,0.004982
130.5,8.7,9.282,0.00498
131,8.73,9.301,0.004979
131.5,8.77,9.316,0.004992
132,8.8,9.33,0.005007
132.5,8.83,9.334,0.005001
133,8.87,9.338,0.005
133.5,8.9,9.341,0.005014
134,8.93,9.354,0.005015
134.5,8.97,9.377,0.005028
135,9,9.403,0.005031
135.5,9.03,9.431,0.005034
136,9.07,9.463,0.005048
136.5,9.1,9.493,0.005057
137,9.13,9.519,0.005058
137.5,9.17,9.538,0.005069
138,9.2,9.553,0.005075
138.5,9.23,9.564,0.00507
139,9.27,9.585,0.005074
139.5,9.3,9.611,0.005094
140,9.33,9.639,0.005096
140.5,9.37,9.674,0.005107
141,9.4,9.712,0.00512
141.5,9.43,9.755,0.005136
142,9.47,9.797,0.005129
142.5,9.5,9.838,0.005139
143,9.53,9.88,0.005153
143.5,9.57,9.924,0.005159
144,9.6,9.971,0.00517
144.5,9.63,10.02,0.005186
145,9.67,10.07,0.005198
145.5,9.7,10.12,0.00521
146,9.73,10.17,0.005224
146.5,9.77,10.22,0.005231
147,9.8,10.27,0.005245
147.5,9.83,10.33,0.005255
148,9.87,10.38,0.00526
148.5,9.9,10.43,0.005287
149,9.93,10.48,0.005287
149.5,9.97,10.53,0.005309
150,10,10.58,0.005314
150.5,10.03,10.64,0.005327
151,10.07,10.69,0.005332
151.5,10.1,10.74,0.00535
152,10.13,10.8,0.005374
152.5,10.17,10.85,0.00537
153,10.2,10.91,0.005389
153.5,10.23,10.97,0.005394
154,10.27,11.03,0.005411
154.5,10.3,11.09,0.005422
155,10.33,11.15,0.005433
155.5,10.37,11.21,0.005455
156,10.4,11.26,0.005457
156.5,10.43,11.32,0.005476
157,10.47,11.37,0.005481
157.5,10.5,11.43,0.005502
158,10.53,11.48,0.005518
158.5,10.57,11.54,0.005524
159,10.6,11.58,0.005529
159.5,10.63,11.64,0.005547
160,10.67,11.69,0.00556
160.5,10.7,11.74,0.005564
161,10.73,11.79,0.005577
161.5,10.77,11.84,0.005577
162,10.8,11.89,0.005581
162.5,10.83,11.95,0.005599
163,10.87,12,0.005604
163.5,10.9,12.06,0.005616
164,10.93,12.12,0.005625
164.5,10.97,12.18,0.005642
165,11,12.24,0.005638
165.5,11.03,12.29,0.005662
166,11.07,12.36,0.005674
166.5,11.1,12.42,0.005696
167,11.13,12.48,0.005702
167.5,11.17,12.55,0.005716
168,11.2,12.61,0.005735
168.5,11.23,12.67,0.005748
169,11.27,12.72,0.005762
169.5,11.3,12.78,0.005765
170,11.33,12.84,0.005762
170.5,11.37,12.9,0.005791
171,11.4,12.95,0.005795
171.5,11.43,13.01,0.005805
172,11.47,13.06,0.005818
172.5,11.5,13.12,0.005841
173,11.53,13.17,0.005826
173.5,11.57,13.22,0.005834
174,11.6,13.27,0.005842
174.5,11.63,13.33,0.005862
175,11.67,13.38,0.005887
175.5,11.7,13.44,0.005889
176,11.73,13.49,0.005901
176.5,11.77,13.55,0.005919
177,11.8,13.61,0.005921
177.5,11.83,13.67,0.005922
178,11.87,13.74,0.005944
178.5,11.9,13.8,0.005948
179,11.93,13.86,0.005963
179.5,11.97,13.92,0.005975
180,12,13.98,0.005977
180.5,12.03,14.04,0.005969
181,12.07,14.1,0.005984
181.5,12.1,14.15,0.006004
182,12.13,14.21,0.006018
182.5,12.17,14.27,0.006032
183,12.2,14.33,0.00605
183.5,12.23,14.4,0.006058
184,12.27,14.46,0.006062
184.5,12.3,14.52,0.006068
185,12.33,14.58,0.006091
185.5,12.37,14.64,0.006105
186,12.4,14.7,0.006123
186.5,12.43,14.77,0.006121
187,12.47,14.82,0.006126
187.5,12.5,14.88,0.006125
188,12.53,14.94,0.006154
188.5,12.57,15,0.006159
189,12.6,15.05,0.006175
189.5,12.63,15.11,0.006177
190,12.67,15.17,0.006194
190.5,12.7,15.22,0.006198
191,12.73,15.25,0.006211
191.5,12.77,15.14,0.006238
192,12.8,14.98,0.0062
192.5,12.83,14.78,0.006152
193,12.87,14.08,0.006056
193.5,12.9,13.31,0.005929
194,12.93,13.02,0.005881
194.5,12.97,12.85,0.005854
195,13,12.71,0.005824
195.5,13.03,12.57,0.005794
196,13.07,12.43,0.005789
196.5,13.1,12.31,0.005757
197,13.13,12.2,0.005742
197.5,13.17,12.09,0.00575
198,13.2,12,0.005729
198.5,13.23,11.92,0.005715
199,13.27,11.83,0.005696
199.5,13.3,11.75,0.005675
200,13.33,11.66,0.005651
200.5,13.37,11.59,0.005658
201,13.4,11.52,0.005639
201.5,13.43,11.46,0.005623
202,13.47,11.39,0.005618
202.5,13.5,11.32,0.005599
203,13.53,11.26,0.005589
203.5,13.57,11.19,0.005577
204,13.6,11.14,0.005563
204.5,13.63,11.09,0.005557
205,13.67,11.05,0.005551
205.5,13.7,11.01,0.005543
206,13.73,10.98,0.005527
206.5,13.77,10.94,0.005542
207,13.8,10.91,0.005535
207.5,13.83,10.87,0.005528
208,13.87,10.82,0.005506
208.5,13.9,10.77,0.005499
209,13.93,10.72,0.00549
209.5,13.97,10.66,0.005479
210,14,10.6,0.005465
210.5,14.03,10.53,0.005454
211,14.07,10.46,0.005447
211.5,14.1,10.4,0.005426
212,14.13,10.34,0.005427
212.5,14.17,10.29,0.005424
213,14.2,10.23,0.005385
213.5,14.23,10.18,0.005395
