0,0,0.03174,0.000009653
0.5,0.03,0.155,0.0001294
1,0.07,0.2781,0.0002464
1.5,0.1,0.387,0.0003471
2,0.13,0.4741,0.0004628
2.5,0.17,0.5442,0.0005476
3,0.2,0.6046,0.0006236
3.5,0.23,0.654,0.0006998
4,0.27,0.6956,0.0007659
4.5,0.3,0.7315,0.0008197
5,0.33,0.768,0.0008796
5.5,0.37,0.8053,0.0009271
6,0.4,0.8489,0.0009914
6.5,0.43,0.8986,0.001069
7,0.47,0.9463,0.001128
7.5,0.5,0.9883,0.001178
8,0.53,1.004,0.000979
8.5,0.57,1.052,0.0009371
9,0.6,1.1,0.001073
9.5,0.63,1.146,0.001108
10,0.67,1.192,0.001206
10.5,0.7,1.238,0.001279
11,0.73,1.287,0.001342
11.5,0.77,1.334,0.001407
12,0.8,1.381,0.001487
12.5,0.83,1.429,0.001557
13,0.87,1.477,0.00163
13.5,0.9,1.523,0.001711
14,0.93,1.57,0.001782
14.5,0.97,1.617,0.001857
15,1,1.66,0.001928
15.5,1.03,1.704,0.001999
16,1.07,1.745,0.002066
16.5,1.1,1.778,0.002117
17,1.13,1.817,0.002184
17.5,1.17,1.857,0.002256
18,1.2,1.901,0.002319
18.5,1.23,1.943,0.002388
19,1.27,1.988,0.002468
19.5,1.3,2.032,0.002543
20,1.33,2.077,0.002628
20.5,1.37,2.118,0.002698
21,1.4,2.163,0.002777
21.5,1.43,2.206,0.002857
22,1.47,2.251,0.002942
22.5,1.5,2.296,0.003022
23,1.53,2.339,0.003105
23.5,1.57,2.384,0.003196
24,1.6,2.427,0.003278
24.5,1.63,2.471,0.003372
25,1.67,2.515,0.003456
25.5,1.7,2.559,0.003551
26,1.73,2.603,0.003637
26.5,1.77,2.647,0.003735
27,1.8,2.691,0.003829
27.5,1.83,2.734,0.003926
28,1.87,2.776,0.004014
28.5,1.9,2.82,0.004112
29,1.93,2.862,0.004211
29.5,1.97,2.905,0.004309
30,2,2.949,0.004411
30.5,2.03,2.992,0.00451
31,2.07,3.033,0.004618
31.5,2.1,3.074,0.004716
32,2.13,3.115,0.004827
32.5,2.17,3.155,0.004931
33,2.2,3.196,0.005043
33.5,2.23,3.237,0.00515
34,2.27,3.277,0.005262
34.5,2.3,3.317,0.005365
35,2.33,3.357,0.005481
35.5,2.37,3.396,0.00559
36,2.4,3.435,0.00571
36.5,2.43,3.475,0.005833
37,2.47,3.515,0.005949
37.5,2.5,3.553,0.006063
38,2.53,3.592,0.00618
38.5,2.57,3.628,0.006306
39,2.6,3.616,0.006373
39.5,2.63,3.653,0.00647
40,2.67,3.689,0.006578
40.5,2.7,3.728,0.006693
41,2.73,3.766,0.006812
41.5,2.77,3.803,0.006916
42,2.8,3.839,0.007048
42.5,2.83,3.875,0.007168
